processed,Code
hipertensio arterial,I10
estrabismo,H509
al·lergia acaros,V1506
gestacion bicorial-biamniotica,O30043
tendinitis supraespinoso hombro derecho,M7550
geu tubarico derecha,O00101
liquen,L280
fractura de acetabulo izquierdo,S32402A
re negativos,V861
alteracion conductual,3129
asma part,O9972
utero bicorne parto,O3403
reduccion mamaria bilateral,0HBV0ZZ
presincope,R55
resonancia magnetica cerebral amb contrast,B030Y0Z
cesarea anterior,O3421
fractura pertrocanterea femur izquierdo,S72102A
wpw parto,I456
sindrome febril,R509
histerectomia total,0UT90ZZ
laparoscopia,5421
historia de politrauma,Z87828
sg:40+2,Z3A40
ecografias obst,BY4FZZZ
absceso gluteo,L0231
primigesta de 40,O480
diabetes mellitus tipo 2,25000
prematuridad 31,P0734
hipertension arterial insuficiencia cardiaca congestiva,I5030
fibromialgia,M797
liquen escleroso,L900
graves,E0500
bebedor,F1010
fiebre posparto,O864
pielonefritis del injerto renal,N10
hernia hiato parto,K449
artrosis cervical,M47812
dematitis atopica parto,L209
alucinaciones visuales,R441
sindrome ansioso-depresivo parto,F418
alergia a tetraciclinas,Z881
via publica,Y92410
alergia a alimentos,Z91018
biopsia estomac,4414
tumorectomia (mama izquierda,0HBU0ZZ
hernia diafragmatica,K449
habito enolico importante,F1020
nefropatia diabetes mellitus,E1129
ex-fumador,Z87891
regularizacion meniscal der,0SBC4ZZ
historia de neoplasia de mama,Z853
adenocarcinoma endometrioide,C541
hipertension arterial insuficiencia renal cronica 6 insuficiencia cardiaca congestiva,N186
absceso axila derecha,L02411
depresion y ansiedad parto,O99344
nefrostomia bilateral,0T9330Z
: 40+6,Z3A40
bacteriemia,R7881
tomografia axial computarizada abdominopelvico,BW21ZZZ
linfadenectomia axilar izq,07T60ZZ
imc 41,Z6841
hipomagnesemia,2752
hepatoblastoma,1550
38 sem,Z3A38
nutricion enteral,3E0G76Z
atelectasi pulmonar,5180
gestacion ectopica (tubarica) izquierda,O00102
paresia facial izquierda,3510
vasa previa,O694XX0
transversa,O322XX0
venofer,9929
anemia sang,2851
intolerancia lactosa parto,O99284
hipotiroidismo qx,E890
soplo sistolico,R011
h fractura,V1551
hipotiroidismo,E039
radiografia abdomen,BW00ZZZ
mastopatia fibroquistica,N6019
febricula,78060
hipercolesterolema,E7800
epi,6149
hepatitis aguda,5733
fibrilacion auricular rapida,I4891
obesidad part,27800
esguince cervical,S134XXA
adherencia a epiplon,K660
gastritis cronica parto,K2950
rge,53081
dermatitis de contacto parto,O9972
diabetes mellitus tipo 2,E119
preeclamsia grave,O1414
36.2 semanas,Z3A36
colon irritable part,K589
dolor abdomino-pelvico,R1030
dolor abdominal,R109
sedacion,9929
hipergammaglobulinemia policlonal,D890
depresion anteparto,64843
historia de linfoma,Z8572
fr. supracondilea humero,81241
gafas nasales,3E0F7SF
vive solo,V603
cistografia,BT10ZZZ
colitis ulcerosa parto,64891
septoplastia,J342
alergia al niquel,Z91048
alergias a inzitan,V148
rinitis aguda,J00
historia de trombosis,Z86718
dilipemia,2724
histerectomia total,Z90710
sars-cov2 negativo,Z20822
linfadenectomia axila,4051
institucionalizado,Z593
infeccion tracto urinario 3t,Z3A32
nodulos tiroideos,2410
sarcopenia,M6284
esquizofrenia paranoide,29532
nodulo mama,61172
infeccion urinaria,N390
sonda rectal,0D9P70Z
retencion aguda orina posparto,O9089
cnaf,9396
puncio lumbar,009U3ZX
oliguria,R34
cefalea dural posparto,O745
grupo a positivo,Z6710
distocia de descenso,O640XX0
histerectomia lap,0UT94ZZ
cancer prostata,C61
neoplasia renal izquierda,C642
trastorno de la marcha,R269
biopsia endometrio,6816
"grupo sanguineo materno: 0, rh: positivo",Z6740
extrasistoles ventriculares,42769
brihh,I447
podalica 2,O328XX2
ooforectomia izquierda,Z90721
hernia hiato,K449
paladar fes,74900
peritonitis purulenta,56729
b34.9,B349
hipermenorrees,6262
dga1,O24420
sindrome ansioso-depresivo,F418
rotura prematura de membranas,65811
alfa-talasemia,28243
carcinoma endometrio,1820
: 0 negativo.,Z6741
diabetes mellitus,E119
bc/ta,V9111
grupo sanguineo: ab rh: positivo,Z6730
hiperuricemia,E790
anticoagulacion,Z7901
dmnid,E119
apendicectomia,0DTJ0ZZ
invaginacion ileo-colica,K561
gsrh: o+,Z6740
bronquiolitis vrs recien nacido,J210
antibiotico,9921
vertigo,3869
ureterohidronefrosis,N132
eco-doppler renal,B448ZZZ
circuncision,0VTTXZZ
hepatocarcinoma,C220
mcp,Z950
re ++,Z170
quiste renal derecho,N281
secuela fractura femur,9054
cistocele,0JQC0ZZ
colon irritable parto,O9962
re:positivos,Z170
hipotirodismo qx parto,O99284
serumterapia,9918
o76,O76
grupo a,Z6710
alergia al esparadrapo,Z91048
vertigo paroxistico,H8113
ecocardiograma nen,B24DZZZ
disartria,R471
virus hepatitis B part,O9842
paralisis facial,3510
hidronefrosis obstructiva,591
anexectomia bilateral via laparoscopica,0UT24ZZ
infeccion tracto urinario por e.coli,B961
entropion,37400
erupcion cutanea,R21
hipercolesterolemia part,O99284
diabetis insipida,2535
vulvectomia parcial,0UBM0ZZ
fractura nasal,S022XXA
tc abdominopelvico contraste,BW211ZZ
taponamiento vaginal,2Y44X5Z
infeccion tracto urinario e.coli,B9620
alergia ibuprofeno,Z886
ecografia renal,8875
39+3 semanas,Z3A39
: 40+2,Z3A40
historia neoplasia colon,Z85038
ex alcohol,F1021
extrenimiento cronico,56400
quistes foliculares ovarios derecho,N8301
nutricion enteral sng,0DH67UZ
sme ansioso,30000
colecistectomia,V1279
shock septico 2,99592
gs 0+,Z6740
hipertensio insuficiencia renal cronica,N189
hipotiroidismo 3t,K8020
eco tv,BU4CZZZ
quiste anexial izquierdo,N83202
desgarro periuretral,O7182
f70,F70
coxartrosis derecha,M1611
ambliopia,36800
sigmoidectomia,V4572
concentrados de hematies,9904
hemorroides internas,4552
apendicitis aguda,5409
sobrepeso part,Z6829
trasplantado renal,Z940
cefalea cronica,R51
fumadora part,O9852
papiloma intraductal,85030
hipertension arterial madre recien nacido,P000
broncoaspiracion,5070
endometriosis part,O9989
nissen laparoscopica,0DV44ZZ
deterioro de la funcion renal,N179
colitis infecciosa,0090
triple by-pass,Z951
color: tenido,O770
hiperparatiroidismo primario,25201
papiloma intraductal,85030
pp,O6014X0
preeclampsia leve part,O1404
histerectomia,6849
estrenimiento part,O9962
lactancia artificial,O925
misoprostol rectales,3E0H7GC
hiponatremia recien nacido,P744
angina de esfuerzo,I208
metrorragia 3er trimestre,O4693
radioterapia,E8792
sindrome intestino irritable,5641
fibrilacion auricular rapida,I4891
polipectomia endoscopica,Z86010
restos ovulares,O034
trombosis historia,V1251
hipercolesterolemia,E7800
trastorno distimico,F341
robot,8E0W4CZ
desgarro perineal de 3º grado,O702
nefropatia diabetica 2,25040
hipertension,4019
ateromatosis aortica,4400
recien nacido,Z370
hipoacusia parto,O99891
b2790,B2790
nutricion parenteral,3E0336Z
migrana 3t,O99353
gs: a (+),Z6710
sindrome de tunel carpiano bilateral,G5603
tc de abdomen,8801
miopia parto,64891
gastritis cronica antral,K2950
amenorrea 40,Z3A40
oxigeno domiciliario,Z9981
bradicardia,R001
desnutricion,2639
mssa,B9561
sindrome ansioso-depresivo,3004
0020 anteparto,64633
fisura anal,K602
grupo sanguineo materno a+,Z6710
colestasis part,O1205
linfangioma,2281
hemorroides,K649
hernia lumbar,M5126
dolor postoperatorio agudo,33818
microcefalia,Q02
deficit vit d.,E559
alergica a:gramineas,Z91048
hipoacusia derecha,H9191
anexectomia izquierda,0UT10ZZ
gonartrosis de rodilla,M179
gonalgia derecha,M25561
bronquiectasias,4940
hipotiroidismo parto,K5190
gestacion prolongada,O480
quiste anexial izquierdo,N838
quiste hemorragico ovario derecho,N83291
oxigeno,9396
taquiarritmias auriculares,I471
cancer mama cii,1743
esteroidea,E9320
cuadro confusional,F05
ulcera duodenal,53290
diuretico,3E0337Z
radiografia de torax,8744
colecistitis cronica,K811
sonda vesical,5794
apgar,4A1HXCZ
ilpt piel nasal,0HX1XZZ
electroencefalograma,8914
transaminasas,7904
membranas desgarradas,O731
anemia aguda,D62
diabetes mellitus tipo ii,E119
historia neoplasia de mama,V103
diabetis mellitus,25000
esteatosis hepatica,5718
ile por trisomia 21,O351XX0
65581,O358XX0
colico renoureteral,N23
limfopenia,D72810
salpingectomia geu izq lap,0UT64ZZ
histerectomia abdomial radical,0UTC0ZZ
fibrilacion auricular,42731
ciprofloxacino,9921
diseminacion peritoneal,C786
fractura supracondilea humeral izquierda,S42412A
gamaglobulina anti d,9911
fibroadenomas,90100
hematies,9904
linfadenectomia iliaca,4053
esclerosis multiple parto,G35
drenaje absceso anal,0D9QXZZ
prolapso uterino,N814
anemia pp,O9081
protesis de rodilla izquierda,Z96652
malnutricion proteica,E46
limfadenectomia pelvica,4053
ampicilina,3E03329
distimico,F341
miopia parto,O9989
rinitis intermitente,J310
antibiotico,3E03329
disfonia,R490
ansioso-depresivo,F418
ertapemen,3E03329
sjogren,M3500
gemelar monocorial-biamniotica,O30033
anexohisterectomia,Z90710
hernioplastia inguinal derecha con malla,0YU50JZ
neoplasia vesical multiple,C678
hierro,9929
depressio,311
miocardiopatia hipertrofica no obstructiva,42518
diabetis gestacional,64881
gastritis cronica,K2950
k91.840,K91840
protesis total de cadera derecha,Z96641
salpingooforectomia,V4577
596.89,N3289
adenomiosis,6170
protesis de cadera,V4364
laringomalacia,7483
linfadenectomia paraaortica,4052
hipoglucemia,E162
hijo de madre diabetica,P701
varices esofagicas,I8510
rectorragia,5693
pielonefritis aguda derecha,N10
hernia inguinalbilateral,55092
cefalea pulsatil,R51
extraccion manual placenta,10D17Z9
ilpp pierna derecha,0HRKX74
hipotiroidsimo part,E039
uropatia obstructiva izquierda,N139
hiperk,E875
adenocarcinoma de endometrio,1820
grupo sanguineo: a + -,Z6710
epilepsia part,O99354
anemizante,D62
40 sg,Z3A40
recambio ptc derecha,0SR90JZ
elongacio hipertrofica de coll uteri,6226
h33.031,H33031
reimplante ureteral,5674
radiografia de torax y abdomen,BW03ZZZ
alergia voltaren,Z888
783.3,R633
desgarro iiib,O7022
inmunoglobulina anti D,3E0234Z
polipo gastrico,K317
trasplante,E8780
insuficiencia cardiaca,I509
l00,L00
anemia puerperal,O9081
obesidad morbida part,Z6841
diverticulosis,K5730
alergica a penicilina,Z880
cancer ovario,1830
tc abdomino-pelvico con contraste,BW211ZZ
lesiones cutaneas,7099
hipertension arterial insuficiencia renal cronica insuficiencia cardiaca congestiva,K269
cetosis,E872
migrana cronica,G43909
alergica a contrastes,Z91041
paniculo adiposo,E65
ansioso parto,F419
utero miomatoso part,O3413
historia de covid,Z8616
hidronefrosis parto,O26833
boton gastrico,Z931
conizacion,0UBC8ZZ
edema cuerdas vocales,J384
sedante,3E033NZ
bufeta neurogena,59654
nefrectomia,Z905
nodulos tiroideos parto,E041
desproporcion pelvico cefalica,O334XX0
alergias medicamentosas: sulfamidas,Z882
nutricion parenteral,9915
anemia por deficit de vitamina b12,D518
"fisura anal,",K602
ecografia-doppler de troncos supraaorticos,B341ZZZ
miastenia gravis parto,O99354
somnoliento,R400
hemitiroidectomia izquierdo,062
htp,I272
ulcus gastrico parto,O9962
transversa anteparto,65233
reseccion de rectosigma,4869
mieloma multiple,C9000
hiperrreactividad bronquial,51919
anexectomia derecha laparoscopica,0UT54ZZ
barrera idiomatica,Z603
enfermedad de kawasaki,M303
hepatitis autoinmune,57142
adk colon,1539
ecografia de torax,BB4BZZZ
ingesta de caustico,9839
parto gemelar,65101
estrenyiment,K5900
eco tv,8878
se administra gammaglobulina anti-d.,65611
parvovirus b19,B343
ecotv,8878
dolor boca,K1379
cesaria anterior,O34219
tomografia axial computarizada craneo,B020ZZZ
colonoscopia biopsia,4525
intussuscepcio,K561
hipoglicemia,E162
mutismo,R4701
duodeno,0DB98ZX
pielografia retrograda,8774
conizacion con asa de diatermia,0U5C8ZZ
ansiedad parto,F419
fractura radi distal,81342
recien nacido,Z370
inhibicion de lactanica,O925
hernia de hiatus,K449
hipotiroidismo tras tiroidectomia,E890
valvulopatia mitroaortica,I080
tc renal,BT23ZZZ
fibrilacion auricular cronica,I482
anexectomia,V4577
video eeg,4A10X4Z
histeroscopia,0UJD8ZZ
insufiencia respiratoria aguda,J9600
"grupo sanguineo 0, rh: negativo",Z6741
h61.031,H61031
rinitis alergica parto,O9952
anemia 2t,D649
bronquitisleve,4660
anemia 3t,D649
parada cardiaca,4275
hernia umbilical lap,5342
huevo huero.,6318
preeclampsia leve,64241
: a negativo,Z6711
quadre viral,07999
sindrome parkinsoniano,G20
sindrome de west,G40822
fistula rectovaginal,6191
dgnid,O24420
analgesico,3E033NZ
alergia lidocaina,Z884
historia de neoplasia maligna de colon,Z85038
cervix corto parto,O26873
ooforectomia izquierda,0UT10ZZ
migranas parto,G43909
mastectomia,Z9010
cesarea anterior,65421
richter,0USG0ZZ
metrorragia abundante,6266
inmunodeficiencia,D849
presbiacusia,H9110
cesarea anterior,65421
mtx axilar,1963
tc abdominal,BW20ZZZ
quimioterapico,E9331
tratamiento quimoterapico,V5811
hipertension arterial insuficiencia cardiaca congestiva,I110
rinitis alergica parto,O9952
adenoma paratiroideo,D351
lavados vesical,3E1K78Z
traqueomalacia congenita,7483
bronquiolitis vrs,J210
anexectomia bilateral lap,0UT24ZZ
adhesiolisis,0DNW0ZZ
paciente institucionalizada,Z593
deficit factor xiii parto,D682
g40.411,G40411
biopsia mama izquierda,0HBU0ZX
urticaria cronica parto,O9972
cesarea anter,O34219
hipotiroidsimo part,E282
sueroterapia,3E0337Z
pneumonia bilobar,J181
v1509,Z91048
alergia al latex,Z91040
hepatitis b parto,O9842
bradicardia de expulsivo,O76
quiste de bartholino sobreinfectado,N750
carcinoma endometrioide,C541
ecografia testicular,8879
dermatitis atopica part,O9972
doble anexectomia laparocopia,0UT74ZZ
antiobiotico,3E03329
mioclonias,G253
35 anos,65961
anemia ferropenica,2809
tratamiento analgesico,9929
nutricion parenteral,9915
dermatitis atopica,L209
infeccion tracto urinario 2t,Z3A27
a positivo,Z6710
nauseas y vomitos,78701
grupo sanguineo: a +.,Z6710
biopsia peritoneal lap,5424
cacahuete,V1501
circular en mano,O6982X0
salpinguectomia bilateral lap,0UT74ZZ
rubeola no inmune,Z228
doble anexectomia,0UT20ZZ
alopecia areata,L639
pseudomonas aeruginosa,0417
osteoma,91800
colestasis parto,K831
sangrado vaginal,N939
hipoparatiroidismo secundario,2521
intervenida de neoplasia de recto,V1006
poliquistosis renal,75312
desgarro vaginal,O714
ferida menton,87344
tumorectomia,8521
sincopes,R55
coronariografia,8857
polimialgia reumatica,725
historia tromboembolismo pulmonar,Z86711
taquicardias,7850
hipotirodismo central,E039
depresion parto,O99344
sangrado posparto,O721
mf,4A1HXCZ
da,V4577
ansiedad 3t,O99343
rcfi cubito izquierdo,0PSL34Z
cuerpo luteo hemorragico,6201
steinert,G7111
gcp,64511
v13.67,Z87738
placentitis,O411430
miopia magna parto,O99891
depresion-ansiedad,F341
osteoporotico,73300
alergia gat,Z91048
gestacion gemelar part,65101
estreptococo agalactiae,04102
leiomiomas uterinos,D259
grupo 0 rh positivo,Z6740
radiografia de torax,BW03ZZZ
histerectomia total,0UT90ZZ
tumorectomia mama derecha,0HBT0ZZ
ecografia abbdominal,8876
covid part,Z370
miastenia gravis,35800
tc toracoabdominal,BW24ZZZ
gardenella,04189
anemia anteparto,2859
hematies,9904
drenaje mama derecha,0H9T0ZZ
friedrich,8622
re +,Z170
hepatopatia,K769
v14.0,Z880
insuficiencia renal aguda,5849
alergica a: penicilina,Z880
alergica a penicilina,Z880
hipertension pulmonar moderada,I2720
metrorragia,6266
tomografia axial computarizada de cuello,BW2FZZZ
hipoacusia,H9190
taquicardia parto,O9942
hermana: cancer de ovario,Z8041
desgarro ii grado,0KQM0ZZ
alergica a penicilina,V140
osteomielitis cronica mano,73014
rinitis alergica part,J309
dinamica uterina,O622
cervix corto,O26873
carcinoma infiltrante,85003
hipertension arterial + erc 4,40390
drenaje de absceso de mama derecha,0H9T0ZZ
h fx,V1551
fibrocolonoscopia,0DJD8ZZ
estrenimiento pertinaz,K5900
radiculopatia cervical,M5412
dexametasona,3E0333Z
maltrato fisico,T7611XA
incidentaloma suprarrenal izquierdo,D3502
sinusitis parto,G43909
nalgas,66001
litiasis renales,5920
38+6 semanas,Z3A38
deficit vit b12 part,O99284
gammaglobulina anti d,65611
gestacion gemelar bicorial/biamniotica,O30043
comunicacion interauricular,Q211
historia de litiasis renal,Z87442
mutacion gen protrombina anteparto,64933
feto vivo,Z370
tc facial,BN25ZZZ
m1 suprarrenal,1987
sindrome antifosfolipido parto,O9912
0 rh: positivo,Z6740
hernia inguinal izquierda,55090
40+1 setmanes,Z3A40
eritema multiforme,L518
salpingectomia bilateral,0UT70ZZ
reseccion vagina,7033
celulitis abd,6822
vertigos paroxistico benigno,H8110
mastectomia bilateral,0HTV0ZZ
anticoagulada,V5861
bypass aortocoronario,V4581
40sg,Z3A40
radiografia torax,BW03ZZZ
tea,F840
von willebrand parto,O9912
m1 oseas,1985
hlp,E785
cst,O34219
vac,8628
miomas subserosos,2182
eco,8875
parto estacionado,O621
narcolepsia,G47419
gonartrosis izquierda,M1712
fibroma ovarico izquierdo,D271
lcr,0331
recien nacido,Z370
sutura vagina,0UQGXZZ
anemia parto,O9902
e74.10,E7410
orquiectomia izquierda,0VTB0ZZ
atrofia muscular espinal,33510
implante lio od,08RJ3JZ
radiografia de abdomen,8819
hospital,E8497
anhidramnios,O4103X0
sahos,32723
ureaplasma urealyticum,04181
histerectomia laparoscopica,0UT94ZZ
cannabis part,F1020
neoplasia de mama bilateral,C50911
hemorragia postparto,O721
histerectomia,V8801
hipertension enfermedad renal cronica,I129
miringotomia bilateral,09950ZZ
historia adenocarcinoma de pulmon,Z85118
o rh negativo,Z6741
deterioro cognitivo leve,G3184
hipoglucemias en diabetes mellitus,25080
furosemida,3E033GC
radiculopatia lumbar,M5416
infeccion tracto urinario anteparto,N390
podalica,65221
cistectomia radical laparoscopico,0VT04ZZ
rotura prematura de membranas anteparto,65813
prediabetes,79029
hepatitis cronica,57140
alergica a aas,Z886
gammapatia monoclonal,D472
pielografia,BT1FYZZ
alergica a la penicilina,Z880
grup: b +,Z6720
o rh negativo,Z6741
hipertension arterial insuficiencia renal cronica insuficiencia cardiaca congestiva,I130
transversa 2,O322XX2
gastritis cronica atrofica,K2940
corticoterapia,3E0333Z
ureteroscopia,0TJ98ZZ
24 semanas,Z3A24
diarrees,R197
omentectomia,544
amniorrexis artificial,7309
gastroenteritis,5589
metrorragias postmenopausicas,N950
obesidad,E669
alergia a la amoxicilina,V141
neuroblastoma,1940
esteroides,Z7952
fractura de radio distal izquierdo,S52502A
liquido pleural,3491
pna 3t,N10
historia neoplasia pene,Z8549
poliomielitis,138
anemia 2t,Z3A20
fiebre prolongada,R509
resonancia magnetica de pelvis,BW3GZZZ
crisis comicial parcial,34550
e.coli,04149
hiperhidrosis palmo-plantar,L74512
cardiopatia isquemica,I259
rotura artificial membranes,10907ZC
historia neoplasia tiroides,Z85850
ecografia trasfontanelar,8875
induccion medica,3E033VJ
"cistocele, lateral",N8112
diverticulosi,K5730
utero bicorne parto,Q513
40 .5 semanas,Z3A40
coxartrosis izquierda,M1612
pielonefritis de repeticio,V1302
orquidopexia bilateral lap,0VSC4ZZ
expretermino,V137
0+,Z6740
linfadenectomia aortica,4052
fiebre en puerperio,O864
diabetes gestacional tratamiento con insulina,O24424
insuficiencia cardica,4280
sondaje vesical,0T9B7ZZ
crisis epileptica,34590
renal parto,64621
radiografia torax,BW03ZZZ
mmc postoperatoria,3E0K805
agorofobia,30022
l12.0,L120
0020 anteparto,64633
multipara,O0943
neoplasia mucinosa,84801
conjuntivitis alergica,37214
colon irritable part,O9962
autismo,F840
linfadenectomia pelvicas,4053
suero fisiologico,3E0337Z
septoplastia,2188
trichomonas vaginalis,A5901
tc de abdomen sin/con contraste,BW2010Z
absceso mama derecha,N611
rciu anteparto,65653
neoplasia mama,1749
leucocitosis,D72829
vaginosis,61610
gestacion cronologicamente prolongada,O480
hipertension arterial erc insuficiencia cardiaca congestiva,I130
bicorial- biamniotica,O30043
tubulopatia renal,N170
40 parto,O480
hipertension,4019
transtorno limite de la personalidad part,O99344
anagesia,3E033NZ
vertigo,R42
lente intraocular,Z961
anemia microcitica,D509
incontinencia de orina,R32
cateter venos central,02HV33Z
hiperglicemia,79029
hipocloremia,E878
sospechosa de perdida de bienestar fetal,O3693X0
vertigo periferico paroxistico benigno,H8113
ex prematuritat,V137
cuerpo luteo ovario derecho,N8311
linfoma no hodgkin folicular,96903
bicorial / biamniotica,V9103
vulvectomia parcial,7161
desgarro de ii,O701
grupo sanguineo: a rh positivo,Z6710
nebulizado,9394
artroplastia total de cadera bilateral,Z96643
litiasis ureter izq,0TC78ZZ
anemia pp,O9081
historia de acva,Z8673
ecografia transfontanelar,8871
disgenesia de tronco encefalico,7422
rubeola no inmune,O9852
retinopatia diabetes mellitus 1,E103299
asma parto,J9811
alergias medicamentosas; aas.,Z886
prostatitis cronica,N411
biopsia renal derecha,0TB03ZX
grupo sanguineo materno a positivo,Z6710
historia familiar cancer ovario,Z8041
sondaje vesical,0T9B70Z
desnutricion severa,E43
sindrome ansioso-depresivo,3004
ett,B246ZZZ
polipo vesicular,5756
hipoplasia renal izda,Q603
marihuana part,F1211
: 40 semanas,Z3A40
temblor esencial,G250
lipoma escapular derecho,D171
colostomia,V443
amniocentesis,751
estridor,R061
gammagrafia osea,9214
campo futbol,Y92322
migranas part,G43909
febricula 2,78061
liquido tenido,O770
discapacidad intelectual lleu,F70
ecografia toracica,BH4BZZZ
anexectomia izquierda laparoscopica,0UB94ZZ
hipotiroidismo 3t,M329
leiomioma submucoso,D250
vph parto,B977
nst,O76
sinusitis parto,O99354
esclerodermia,7101
enterocele,N815
prematuridad,O6014X0
shock,R579
grupo sanguineo a+,Z6710
submaxilectomia izquierda,2631
insuficiencia renal cronica,N189
29 semanas,Z3A29
borto diferi,O021
hernioplastia inguinal bilateral malla,0YUA0JZ
poliquistosis renal,Q613
talla baixa,R6252
protesis rodilla bilateral,Z96653
dpf,O334XX0
enteropatia pierde-proteinas,5798
histerectomia laparoscopica,6841
anexectomia derecha lap,0UT04ZZ
diabetes mellitus gestacional anteparto,64883
40 +3 sg,Z3A40
celulitis pie derecho,L03115
afonia,R491
tc abdominal,BW20ZZZ
duplicidad ureter,Q625
hipertension insuficiencia cardiaca insuficiencia renal cronica,N189
nalgas incompletas,O328XX0
retraso psicomotor,R41843
polineuropatia diabetica,E1142
bronquiectasias,J471
s. epidermidis,04119
migrana sin aura part,O99354
desgarro perineal : ii,O701
fibrobroncoscopia biopsia,3324
quemadura pie izquierdo,0JBR0ZZ
trombopenia part,D696
dorsal ancho mama izquierda,0KBG0ZZ
hipotiroidismo 3t,E039
estenosis aortica ligera,I350
reflujo gastroesofagico parto,O9962
nauseas y vomitos,R112
broncoaspiracion,J690
anexectomia bilateral lap,6563
alergias sulfamidas,V142
paralisis facial derecha,G510
alergia al esparadrapo,Z9109
lumbalgias,7242
bolsa rota prolongada,P011
mastectomia tipo madden mama derecha,07T50ZZ
heparina,3E033GC
endometriosi pelvica,6173
anemia ferropenica cronica,2809
orquiectomia derecha,Z9079
iue,N393
alcochol,F1010
secuela afasia,43811
cicatriz queloidea,7014
epifisiodesis tibial,7827
hematemesi,K920
neoplasia endocrina multiple,25801
espina bifida,Q059
interrupcion voluntaria del embarazo,Z332
cesaria,741
trombocitopenia parto,D696
alergia acars,V1506
fx cabeza de femur,82009
toxoplasmosis parto,65541
aborto diferido,O021
trastorn d'ansietat,30000
tetraparesia,34409
hipertension arterial insuficiencia renal cronica,I129
ovariectomia derecha,Z90721
imc: 31,Z6831
capsulectomia bilateral,8594
meningitis en la infancia,Z8661
hipopotasemia,2768
ansiedad parto,O99344
serratia marcescens,B9689
protesis de ambas rodilla,Z96653
obesidad parto,Z6835
ecografia escrotal,BV44ZZZ
polipos endometriales,N840
sindrome de lisis tumoral,27788
gs: o rh + (,Z6740
historia de cancer de mama,Z853
hipertrigliceremia,2721
hipotiroidismo parto,O9962
color: tenido,O770
miopia magna,36021
re: positivos (+++/+++),Z170
hipercolesterolemia part,E7800
