Code,Literal
Z886,ALERGIA IBUPROFENO
8875,ecografia renal
Z3A39,39+3 semanas
Z3A40,: 40+2
Z85038,Historia neo colon
F1021,ex alcohol
56400,Extreñimiento cronico
N8301,quistes foliculares Ovarios derecho
0DH67UZ,nutrición enteral sng
30000,sme ansioso
V1279,Colecistectomia
99592,shock septico 2
Z6740,GS 0+
N189,HIPERTENSIÓ INSUFICIÈNCIA RENAL CRÒNICA
K8020,hipotiroidismo 3t
BU4CZZZ,Eco TV
N83202,quiste anexial izquierdo
O7182,desgarro periuretral
F70,f70
M1611,coxartrosis derecha
36800,ambliopía
V4572,sigmoidectomia
9904,concentrados de hematies
4552,hemorroides internas
5409,apendicitis aguda
Z6829,sobrepeso part
Z940,trasplantado renal
R51,cefalea crónica
O9852,fumadora part
85030,papiloma intraductal
P000,HTA madre rn
5070,Broncoaspiración
O9989,Endometriosis part
0DV44ZZ,Nissen laparoscopica
N179,deterioro de la función renal
0090,Colitis infecciosa
Z951,triple By-Pass
O770,color: teñidO
25201,hiperparatiroidismo primario
85030,Papiloma intraductal
O6014X0,PP
O1404,preeclampsia leve part
6849,Histerectomia
O9962,Estreñimiento part
O925,Lactancia Artificial
3E0H7GC,misoprostol rectales
P744,Hiponatremia rn
I208,ANGINA DE ESFUERZO
O4693,Metrorragia 3er trimestre
E8792,radioterápia
5641,Síndrome intestino irritable
I4891,Fibrilación auricular rápida
Z86010,Polipectomia endoscòpica
O034,restos ovulares
V1251,TROMBOSIS historia
E7800,HIPERCOLESTEROLÈMIA
F341,Trastorno Distímico
8E0W4CZ,robot
O702,Desgarro perineal de 3º grado
25040,Nefropatía diabética 2
4019,hipertensión
4400,ateromatosis aórtica
Z370,Rn
O99891,Hipoacusia parto
B2790,b2790
3E0336Z,Nutricion parenteral
O99353,migraña 3t
Z6710,GS: A (+)
G5603,Síndrome de tunel carpiano bilateral
8801,TC de abdomen
64891,MIOPIA parto
K2950,Gastritis crónica antral
Z3A40,Amenorrea 40
Z9981,oxigeno domiciliario
R001,bradicardia
2639,Desnutrición
B9561,MSSA
3004,Sindrome ansioso-depresivo
64633,0020 ANTEpaRTO
K602,FISURA ANAL
Z6710,Grupo sanguineo materno A+
O1205,COLESTASIS part
2281,linfangioma
K649,Hemorroides
M5126,hernia lumbar
33818,dolor postoperatorio agudo
Q02,microcefalia
E559,Déficit Vit D.
Z91048,Alérgica a:gramineas
H9191,Hipoacusia derecha
0UT10ZZ,anexectomía izquierda
M179,Gonartrosis de rodilla
M25561,Gonalgia derecha
4940,BRONQUIECTASIAS
K5190,hipotiroidismo parto
O480,gestación prolongada
N838,quiste anexial izquierdo
N83291,QUISTE HEMORRÁGICO ovario DERECHO
9396,Oxígeno
I471,taquiarritmias auriculares
1743,ca mama cii
E9320,esteroidea
F05,cuadro confusional
53290,Úlcera duodenal
3E0337Z,diuretico
8744,radiografía de tórax
K811,Colecistitis crònica
5794,sonda vesical
4A1HXCZ,APGAr
0HX1XZZ,ilpt piel nasal
8914,Electroencefalograma
7904,Transaminasas
O731,Membranas desgarradas
D62,anemia aguda
E119,DM tipo II
V103,historia Neoplasia de mama
25000,DIABETIS MELLITUS
5718,Esteatosis hepatica
O351XX0,ile por trisomía 21
O358XX0,65581
N23,CÓLICO RENOURETERAL
D72810,Limfopenia
0UT64ZZ,salpingectomía geu izq lap
0UTC0ZZ,histerectomia abdomial radical
42731,fa
9921,ciprofloxacino
C786,diseminación peritoneal
S42412A,Fractura supracondilea humeral izquierda
9911,Gamaglobulina anti D
90100,fibroadenomas
9904,hematíes
4053,Linfadenectomía iliaca
G35,Esclerosis múltiple parto
0D9QXZZ,drenaje absceso anal
N814,prolapso uterino
O9081,anemia pp
Z96652,Prótesis de rodilla izquierda
E46,Malnutrición protéica
4053,Limfadenectomia pèlvica
3E03329,Ampicilina
F341,Distímico
O9989,miopía parto
J310,Rinitis intermitente
3E03329,antibiòtico
R490,Disfonía
F418,ansioso-depresivo
3E03329,Ertapemen
M3500,sjogren
O30033,gemelar monocorial-biamniótica
Z90710,Anexohisterectomía
0YU50JZ,HERNIOPLASTIA INGUINAL Derecha con malla
C678,NEOPLASIA vesical multiple
9929,HIerro
311,depressió
42518,miocardiopatia hipertrófica no obstructiva
64881,Diabetis Gestacional
K2950,Gastritis crònica
K91840,K91.840
Z96641,Prótesis total de cadera derecha
V4577,Salpingooforectomia
N3289,596.89
6170,ADENOMIOSIS
V4364,Protesis de cadera
7483,laringomalacia
4052,linfadenectomia PARAaórtica
E162,Hipoglucemia
P701,hijo de madre diabética
I8510,varices esofágicas
5693,rectorragia
N10,pielonefritis aguda derecha
55092,hernia inguinalbilateral
R51,cefalea pulsátil
10D17Z9,extracción MANUAL placenta
0HRKX74,ILPP pierna derecha
E039,hipotiroidsimo part
N139,UROPATÍA OBSTRUCTIVA IZQUIERDA
E875,hiperk
1820,Adenocarcinoma de endometrio
Z6710,Grupo sanguíneo: A + -
O99354,Epilepsia part
D62,Anemizante
Z3A40,40 sg
0SR90JZ,recambio PTC derecha
6226,Elongacio hipertrofica de coll uteri
H33031,H33.031
5674,reimplante ureteral
BW03ZZZ,RX de tórax y abdomen
Z888,Alergia Voltaren
R633,783.3
O7022,Desgarro IIIb
3E0234Z,ANTI-D
K317,polipo gastrico
E8780,trasplante
I509,Insuficiencia cardiaca
L00,L00
O9081,Anemia puerperal
Z6841,obesidad mórbida part
K5730,diverticulosis
Z880,Alergica a penicilina
1830,ca ovario
BW211ZZ,TC ABDOMINO-PELVICO CON CONTRASTE
7099,Lesiones cutáneas
K269,hta irc icc
E872,cetosis
G43909,migraña crónica
Z91041,Alergica a contrastes
E65,panículo adiposo
F419,ansioso parto
O3413,útero miomatoso part
Z8616,Historia de COVID
O26833,hidronefrosis parto
Z931,botón gástrico
0UBC8ZZ,Conización
J384,edema cuerdas vocales
3E033NZ,sedante
59654,Bufeta neurògena
Z905,nefrectomía
E041,nódulos tiroideos parto
O334XX0,DESPROPORCIÓN PÉLVICO CEFÁLICA
Z882,Alergias medicamentosas: Sulfamidas
9915,nutricion parenteral
D518,Anemia por déficit de Vitamina B12
K602,"Fisura anal,"
B341ZZZ,Ecografía-Doppler de troncos supraaórticos
O99354,miastenia gravis parto
R400,Somnoliento
062,Hemitiroidectomía izquierdo
I272,HTP
O9962,ulcus gástrico parto
65233,Transversa anteparto
4869,resección de Rectosigma
C9000,mieloma múltiple
51919,Hiperrreactividad bronquial
0UT54ZZ,ANEXECTOMÍA DERECHA LAPAROSCOPICA
Z603,barrera idiomatica
M303,Enfermedad de Kawasaki
57142,Hepatitis autoinmune
1539,ADK colon
BB4BZZZ,Ecografía de tórax
9839,Ingesta de cáustico
65101,parto gemelar
K5900,estrenyiment
8878,eco tv
65611,Se administra gammaglobulina anti-D.
B343,Parvovirus B19
8878,ecoTV
K1379,dolor boca
O34219,Cesària anterior
B020ZZZ,TAC cráneo
4525,colonoscopia biopsia
K561,Intussuscepció
E162,hipoglicemia
R4701,Mutismo
0DB98ZX,Duodeno
8774,pielografía retrógrada
0U5C8ZZ,Conización con asa de diatermia
F419,Ansiedad parto
81342,Fractura radi distal
Z370,Recién Nacido
O925,inhibicion de lactanica
K449,Hernia de hiatus
E890,Hipotiroidismo tras tiroidectomía
I080,Valvulopatía mitroaórtica
BT23ZZZ,TC renal
I482,FA crónica
V4577,ANEXECTOmIA
4A10X4Z,video EEG
0UJD8ZZ,Histeroscopia
J9600,insufiencia respiratoria aguda
Z6741,"Grupo sanguíneo 0, Rh: Negativo"
H61031,H61.031
O9952,Rinitis alergica parto
D649,anemia 2t
4660,bronquitisleve
D649,Anemia 3t
4275,parada cardiaca
5342,Hernia umbilical lap
6318,huevo huero.
64241,preeclampsia leve
Z6711,: A NEGATIVO
07999,Quadre viral
G20,Síndrome parkinsoniano
G40822,Sd de West
6191,fístula rectovaginal
O24420,DGNID
3E033NZ,ANALGÉSICO
Z884,Alergia lidocaína
Z85038,Historia de Neoplasia maligna de colon
O26873,cervix corto parto
0UT10ZZ,OOFORECTOMÍA IZQUIERDA
G43909,Migrañas PARTO
Z9010,mastectomía
65421,cesarea anterior
0USG0ZZ,RICHTER
6266,Metrorragia abundante
D849,Inmunodeficiencia
H9110,Presbiacusia
65421,Cesarea anterior
1963,MTX AXILAR
BW20ZZZ,TC Abdominal
E9331,quimioterápico
V5811,tratamiento quimoterápico
I110,hta icc
O9952,Rinitis Alergica parto
D351,ADENOMA PARATIROIDEO
3E1K78Z,lavados vesical
7483,Traqueomalacia congenita
J210,bronquiolitis VRS
0UT24ZZ,ANEXECTOMIA BILATERAL lap
0DNW0ZZ,adhesiolisis
Z593,Paciente institucionalizada
D682,déficit factor XIII parto
G40411,G40.411
0HBU0ZX,biopsia mama izquierda
O9972,Urticaria crónica parto
O34219,cesárea anter
E282,hipotiroidsimo part
3E0337Z,sueroterapia
J181,pneumònia bilobar
Z91048,v1509
Z91040,Alergia al Látex
O9842,Hepatitis B parto
O76,bradicardia de expulsivo
N750,quiste de bartholino sobreinfectado
C541,Carcinoma endometrioide
8879,Ecografía testicular
O9972,dermatitis atópica part
0UT74ZZ,Doble anexectomia laparocopia
3E03329,antiobiótico
G253,Mioclonias
65961,35 años
2809,Anemia ferropènica
9929,tratamiento analgésico
9915,nutrición parenteral
L209,Dermatitis atópica
Z3A27,itu 2t
Z6710,A positivo
78701,nauseas y vomitos
Z6710,Grupo sanguíneo: A +.
5424,Biopsia peritoneal lap
V1501,cacahuete
O6982X0,circular en mano
0UT74ZZ,SALPINGUECTOMÍA BILATERAL lap
Z228,RUBEOLA NO INMUNE
0UT20ZZ,doble anexectomia
L639,alopecia areata
0417,Pseudomonas aeruginosa
91800,osteoma
K831,Colestasis parto
N939,sangrado vaginal
2521,hipoparatiroidismo secundario
V1006,Intervenida de neoplasia de recto
75312,POLIQUISTOSIS RENAL
O714,desgarro vaginal
87344,ferida menton
8521,tumorectomia
R55,síncopes
8857,coronariografía
725,Polimialgia reumática
Z86711,historia TEP
7850,taquicardias
E039,Hipotirodismo central
O99344,Depresion parto
O721,sangrado posparto
4A1HXCZ,MF
V4577,DA
O99343,ansiedad 3t
0PSL34Z,Rcfi cubito izquierdo
6201,cuerpo lúteo hemorrágico
G7111,Steinert
64511,gcp
Z87738,v13.67
O411430,PLACENTITIS
O99891,MIOPIA MAGNA PARTO
F341,Depresión-ansiedad
73300,osteoporótico
Z91048,alergia gat
65101,gestación gemelar part
04102,estreptococo agalactiae
D259,Leiomiomas uterinos
Z6740,Grupo 0 Rh positivo
BW03ZZZ,Rx de torax
0UT90ZZ,histerectomía total
0HBT0ZZ,tumorecTOMÍA MAMA DERECHA
8876,Ecografia abbdominal
Z370,COVID part
35800,miastenia gravis
BW24ZZZ,TC toracoabdominal
04189,Gardenella
2859,anemia anteparto
9904,Hematíes
0H9T0ZZ,DRENAJE mama derecha
8622,Friedrich
Z170,re +
K769,Hepatopatía
Z880,V14.0
5849,ira
Z880,Alérgica a: Penicilina
Z880,ALÉRGICA A PENICILINA
I2720,Hipertensión pulmonar moderada
6266,metrorragia
BW2FZZZ,TAC de cuello
H9190,Hipoacúsia
O9942,Taquicardia parto
Z8041,Hermana: Cancer de ovario
0KQM0ZZ,desgarro II grado
V140,Alérgica a Penicilina
73014,osteomielitis crónica mano
J309,rinitis alérgica part
O622,dinámica uterina
O26873,Cérvix corto
85003,Carcinoma infiltrante
40390,hta + ERC 4
0H9T0ZZ,DRENAJE DE ABSCESO DE MAMA DERECHA
V1551,h FX
0DJD8ZZ,Fibrocolonoscopia
K5900,Estreñimiento pertinaz
M5412,Radiculopatía cervical
3E0333Z,Dexametasona
T7611XA,Maltrato físico
D3502,Incidentaloma suprarrenal izquierdo
G43909,Sinusitis parto
66001,nalgas
5920,litiasis renales
Z3A38,38+6 semanas
O99284,Déficit vit B12 part
65611,Gammaglobulina anti D
O30043,Gestación gemelar bicorial/biamniótica
Q211,Comunicacion interauricular
Z87442,Historia de LITIASIS RENAL
64933,Mutación gen protrombina anteparto
Z370,feto vivo
BN25ZZZ,TC facial
1987,M1 suprarrenal
O9912,síndrome antifosfolípido parto
Z6740,0 RH: positivo
55090,hernia inguinal izquierda
Z3A40,40+1 setmanes
L518,Eritema multiforme
0UT70ZZ,salpingectomia bilateral
7033,reseccion vagina
6822,celulitis abd
H8110,Vértigos paroxístico benigno
0HTV0ZZ,MASTECTOMÍA BILATERAL
V5861,anticoagulada
V4581,bypass aortocoronario
Z3A40,40SG
BW03ZZZ,RX torax
F840,TEA
O9912,von Willebrand parto
1985,M1 óseas
E785,HLP
O34219,CST
8628,VAC
2182,miomas subserosos
8875,ECO
O621,parto estacionado
G47419,Narcolepsia
M1712,gonartrosis izquierda
D271,FIBROMA OVÁRICO IZQUIERDO
0331,LCR
Z370,RN
0UQGXZZ,Sutura vagina
O9902,anemia parto
E7410,E74.10
0VTB0ZZ,orquiectomia izquierda
33510,Atrofia muscular espinal
08RJ3JZ,Implante LIO od
8819,Radiografia de abdomen
E8497,Hospital
O4103X0,Anhidramnios
32723,SAHos
04181,Ureaplasma Urealyticum
0UT94ZZ,HISTERECTOMÍA laPAROSCÓPICA
F1020,cannabis part
C50911,NEOPLASIA DE MAMA BILATERAL
O721,hemorragia postparto
V8801,histerectomía
I129,Hipertensión Enfermedad renal crónica
09950ZZ,miringotomía bilateral
Z85118,historia Adenocarcinoma de pulmón
Z6741,O Rh NEGATIVO
G3184,deterioro cognitivo leve
25080,Hipoglucemias en dm
3E033GC,furosemida
M5416,radiculopatía lumbar
N390,itu anteparto
65221,podalica
0VT04ZZ,cistectomía radical laparoscópico
65813,Rotura prematura de membranas anteparto
79029,PreDiabetes
57140,hepatitis cronica
Z886,Alérgica a AAS
D472,gammapatía monoclonal
BT1FYZZ,Pielografía
Z880,Alérgica a la Penicilina
Z6720,GRUP: B +
Z6741,O rh negativo
I130,HTA IRC icc
O322XX2,transversa 2
K2940,GASTRITIS CRÓNICA ATRÓFICA
3E0333Z,corticoterapia
0TJ98ZZ,ureteroscopia
Z3A24,24 semanas
R197,diarrees
544,Omentectomía
7309,Amniorrexis artificial
5589,Gastroenteritis
N950,Metrorragias postmenopáusicas
E669,obesidad
V141,Alergia a la amoxicilina
1940,Neuroblastoma
Z7952,esteroides
S52502A,FRACTURA DE RADIO DISTAL IZQUIERDO
3491,liquido pleural
N10,PNA 3t
Z8549,Historia neoplasia pene
138,Poliomielitis
Z3A20,anemia 2t
R509,fiebre prolongada
BW3GZZZ,RM DE PELVIS
34550,crisis comicial parcial
04149,e.coli
L74512,Hiperhidrosis palmo-plantar
I259,cardiopatia isquémica
10907ZC,rotura artificial membranes
Z85850,Historia neo tiroides
8875,Ecografia trasfontanelar
3E033VJ,inducción médica
N8112,"CISTOCELE, LATERAL"
K5730,diverticulosi
Q513,útero bicorne parto
Z3A40,40 .5 semanas
M1612,Coxartrosis izquierda
V1302,pielonefritis de repetició
0VSC4ZZ,orquidopexia bilateral lap
V137,expretérmino
Z6740,0+
4052,linfadenectomía aortica
O864,Fiebre en puerperio
O24424,Diabetes gestacional tratamiento con insulina
4280,Insuficiencia cardíca
0T9B7ZZ,sondaje vesical
34590,crisis epiléptica
64621,renal parto
BW03ZZZ,Rx tórax
3E0K805,MMC postoperatoria
30022,Agorofobia
L120,L12.0
64633,0020 anteparto
O0943,Multípara
84801,neoplasia mucinosa
37214,Conjuntivitis alérgica
O9962,Colon irritable part
F840,Autismo
4053,Linfadenectomia pélvicas
3E0337Z,suero fisiológico
2188,septoplastia
A5901,Trichomonas vaginalis
BW2010Z,TC DE ABDOMEN SIN/CON CONTRASTE
N611,absceso MAMA DERECHA
65653,RCIU anteparto
1749,Neoplasia mama
D72829,Leucocitosis
61610,vaginosis
O480,gestacion cronologicamente prolongada
I130,HTA ERC icc
O30043,bicorial- biamniótica
N170,tubulopatía renal
O480,40 parto
4019,hipertension
O99344,Transtorno limite de la personalidad part
3E033NZ,anagesia
R42,Vértigo
Z961,lente intraocular
D509,Anemia microcitica
R32,Incontinencia de orina
02HV33Z,catèter venós central
79029,hiperglicemia
E878,hipocloremia
O3693X0,sospechosa de pérdida de bienestar fetal
H8113,Vértigo periférico paroxístico benigno
V137,Ex prematuritat
N8311,cuerpo luteo ovario derecho
96903,LINFOMA NO HODGKIN FOLICULAR
V9103,bicorial / biamniótica
7161,vulvectomía parcial
O701,desgarro de II
Z6710,Grupo sanguineo: A rh positivo
9394,nebulizado
Z96643,artroplastia total de cadera bilateral
0TC78ZZ,litiasis ureter izq
O9081,ANEMIA PP
Z8673,Historia de ACVA
8871,Ecografía transfontanelar
7422,Disgenesia de tronco encefálico
O9852,Rubeola NO inmune
E103299,retinopatía dm 1
J9811,Asma parto
Z886,Alergias medicamentosas; AAS.
N411,Prostatitis crónica
0TB03ZX,biopsia renal derecha
Z6710,Grupo sanguineo materno A positivo
Z8041,historia familiar ca ovario
0T9B70Z,SONDAJE VESICAL
E43,desnutrición severa
3004,síndrome ansioso-depresivo
B246ZZZ,ETT
5756,Pólipo vesicular
Q603,hipoplasia renal izda
F1211,Marihuana part
Z3A40,: 40 semanas
G250,temblor esencial
D171,lipoma escapular derecho
V443,colostomia
751,Amniocentesis
R061,estridor
9214,Gammagrafía ósea
Y92322,campo futbol
G43909,migrañas part
78061,febrícula 2
O770,líquido teñido
F70,Discapacidad intelectual lleu
BH4BZZZ,Ecografia torácica
0UB94ZZ,ANEXECTOMÍA IZQUIERDA LAPAROSCÓPICA
M329,Hipotiroidismo 3t
D250,leiomioma submucoso
B977,VPH parto
O76,NST
O99354,Sinusitis parto
7101,Esclerodermia
N815,enterocele
O6014X0,prematuridad
R579,shock
Z6710,Grupo sanguíneo A+
2631,submaxilectomia izquierda
N189,irc
Z3A29,29 semanas
O021,borto diferi
0YUA0JZ,hernioplastia inguinal bilateral malla
Q613,poliquistosis renal
R6252,Talla baixa
Z96653,Protesis rodilla bilateral
O334XX0,Dpf
5798,Enteropatía pierde-proteínas
6841,Histerectomia laparoscópica
0UT04ZZ,ANEXECTOMÍA DERECHA lap
64883,Dm gestacional anteparto
Z3A40,40 +3 sg
L03115,celulitis pie derecho
R491,afonía
BW20ZZZ,TC abdominal
Q625,duplicidad ureter
N189,Hipertensión Insuficiencia cardíaca Insuficiencia renal crónica
O328XX0,nalgas incompletas
R41843,Retraso psicomotor
E1142,Polineuropatía diabética
J471,bronquiectasias
04119,S. epidermidis
O99354,Migraña sin aura part
O701,Desgarro perineal : II
3324,fibrobroncoscopia biopsia
0JBR0ZZ,quemadura pie izquierdo
D696,trombopenia part
0KBG0ZZ,DORSAL ANCHO mama izquierda
E039,HIPOTIROIDISMO 3t
I350,Estenosis aórtica ligera
O9962,reflujo gastroesofágico parto
R112,náuseas y vómitos
J690,broncoaspiración
6563,anexectomía bilateral lap
V142,ALERGIAS sulfamidas
