Code,D_P,processed_Description,processed_Literal
B182,D,hepatitis virica cronica tipo c,virus hepatitis C
B182,D,hepatitis virica cronica tipo c,hepatitis c parto
B182,D,hepatitis virica cronica tipo c,cirrosis hepatica virus hepatitis C
B182,D,hepatitis virica cronica tipo c,virus hepatitis C part
B182,D,hepatitis virica cronica tipo c,cirrosis hepatica por virus hepatitis C
B182,D,hepatitis virica cronica tipo c,hepatitis c part
B2790,D,"mononucleosis infecciosa, no especificada sin complicaciones",b2790
B2790,D,"mononucleosis infecciosa, no especificada sin complicaciones",mononucleosi
B2790,D,"mononucleosis infecciosa, no especificada sin complicaciones",veb
B309,D,"conjuntivitis viral, no especificada",conjuntivitis virica
B340,D,"infeccion debida a adenovirus, no especificada",bronquitis aguda adenovirus
B340,D,"infeccion debida a adenovirus, no especificada",adenovirus
B341,D,"infeccion debida a enterovirus, no especificada",enterovirus
B343,D,"infeccion debida a parvovirus, no especificada",parvovirus b19
B348,D,"otras infecciones virales, de localizacion no especificada",bocavirus
B348,D,"otras infecciones virales, de localizacion no especificada",bocavirus
B348,D,"otras infecciones virales, de localizacion no especificada",rhinovirus
B348,D,"otras infecciones virales, de localizacion no especificada",rhinovirus
B348,D,"otras infecciones virales, de localizacion no especificada",parainfluenzae
B348,D,"otras infecciones virales, de localizacion no especificada",bronquiolitis aguda rhinovirus
B349,D,"infeccion viral, no especificada",b34.9
B349,D,"infeccion viral, no especificada",infeccio virica
B349,D,"infeccion viral, no especificada",virasis
B349,D,"infeccion viral, no especificada",probable virasis
B360,D,pitiriasis versicolor,pitiriasis versicolor
B370,D,estomatitis candidiasica,micosis bucal
B372,D,candidiasis de la piel y las unas,intertrigo candidiasico
B373,D,candidiasis de vulva y vagina,candidiasis vaginal parto
B373,D,candidiasis de vulva y vagina,candidiasis vaginal parto
B373,D,candidiasis de vulva y vagina,candidiasis vaginal parto
B373,D,candidiasis de vulva y vagina,candidiasis vaginal part
B373,D,candidiasis de vulva y vagina,candidiasis vaginal 3t
B3732,D,candidiasis cronica de vulva y vagina,candidiasis vulvovaginal
B3732,D,candidiasis cronica de vulva y vagina,candidiasis vaginal parto
B550,D,leishmaniasis visceral,leishmaniosi visceral
B571,D,enfermedad de chagas aguda que no afecta al corazon,chagas parto
B571,D,enfermedad de chagas aguda que no afecta al corazon,chagas part
B571,D,enfermedad de chagas aguda que no afecta al corazon,chagas part
B678,D,"equinococosis del higado, no especificada",quiste hidatidico
B852,D,"pediculosis, no especificada",pediculosi
B852,D,"pediculosis, no especificada",pediculosis
B852,D,"pediculosis, no especificada",pediculosis capilar
B86,D,escabiosis,escabiosi
B86,D,escabiosis,sarna
B909,D,secuelas de tuberculosis respiratoria y de tuberculosis no especificada,tbc secuelas
B91,D,secuelas de poliomielitis,secuelas de polio
B91,D,secuelas de poliomielitis,secuelas de poliomelitis
B950,D,"estreptococo, grupo a, como causa de enfermedades clasificadas bajo otro concepto",streptococcus pyogenes
B951,D,"estreptococo, grupo b, como causa de enfermedades clasificadas bajo otro concepto",s. agalactiae
B951,D,"estreptococo, grupo b, como causa de enfermedades clasificadas bajo otro concepto",streptococcus agalactiae
B951,D,"estreptococo, grupo b, como causa de enfermedades clasificadas bajo otro concepto",s. agalactiae
B952,D,enterococos como causa de enfermedades clasificadas bajo otro concepto,enterococcus faecium
B952,D,enterococos como causa de enfermedades clasificadas bajo otro concepto,enterococcus faecalis
B952,D,enterococos como causa de enfermedades clasificadas bajo otro concepto,enterococo faecalis
B952,D,enterococos como causa de enfermedades clasificadas bajo otro concepto,enteroccocus faecalis
B952,D,enterococos como causa de enfermedades clasificadas bajo otro concepto,e. faecalis
B952,D,enterococos como causa de enfermedades clasificadas bajo otro concepto,enterococcus faecalis
B952,D,enterococos como causa de enfermedades clasificadas bajo otro concepto,e faecalis
B952,D,enterococos como causa de enfermedades clasificadas bajo otro concepto,enterococo
B953,D,streptococcus pneumoniae como causa de enfermedades clasificadas bajo otro concepto,neumococo
B953,D,streptococcus pneumoniae como causa de enfermedades clasificadas bajo otro concepto,s. pneumoniae
B954,D,otros estreptococos como causa de enfermedades clasificadas bajo otro concepto,streptococcus anginosus
B954,D,otros estreptococos como causa de enfermedades clasificadas bajo otro concepto,streptococcus intermedius
B954,D,otros estreptococos como causa de enfermedades clasificadas bajo otro concepto,streptococcus intermedius
B955,D,estreptococo no especificado como causa de enfermedades clasificadas bajo otro concepto,enterococo
B955,D,estreptococo no especificado como causa de enfermedades clasificadas bajo otro concepto,enterococo
B9561,D,infeccion por staphylococcus aureus sensible a meticilina como causa de enfermedades clasificadas bajo otro concepto,mssa
B9561,D,infeccion por staphylococcus aureus sensible a meticilina como causa de enfermedades clasificadas bajo otro concepto,staphylococcus aureus meticilin sensible
B9561,D,infeccion por staphylococcus aureus sensible a meticilina como causa de enfermedades clasificadas bajo otro concepto,s aureus
B9561,D,infeccion por staphylococcus aureus sensible a meticilina como causa de enfermedades clasificadas bajo otro concepto,staphylococcus aureus
B9562,D,infeccion por staphylococcus aureus resistente a meticilina como causa de enfermedades clasificadas bajo otro concepto,marsa
B957,D,otros estafilococos como causa de enfermedades clasificadas bajo otro concepto,staphylococcus hominis
B957,D,otros estafilococos como causa de enfermedades clasificadas bajo otro concepto,stafilococo epidermidis
B957,D,otros estafilococos como causa de enfermedades clasificadas bajo otro concepto,041.19
B957,D,otros estafilococos como causa de enfermedades clasificadas bajo otro concepto,staphylococcus haemolyticus
B957,D,otros estafilococos como causa de enfermedades clasificadas bajo otro concepto,s.haemolyticus
B958,D,"estafilococo no especificado, como causa de enfermedades clasificadas bajo otro concepto",estafilococo
B960,D,mycoplasma pneumoniae [m. pneumoniae] como causa de enfermedades clasificadas bajo otro concepto,mycoplasma pneumoniae
B961,D,klebsiella pneumoniae [k. pneumoniae] como causa de enfermedades clasificadas bajo otro concepto,infeccion tracto urinario por e.coli
B961,D,klebsiella pneumoniae [k. pneumoniae] como causa de enfermedades clasificadas bajo otro concepto,klebsiella pneumoniea
B961,D,klebsiella pneumoniae [k. pneumoniae] como causa de enfermedades clasificadas bajo otro concepto,k. pneumoniae
B961,D,klebsiella pneumoniae [k. pneumoniae] como causa de enfermedades clasificadas bajo otro concepto,k.pneumoniae
B961,D,klebsiella pneumoniae [k. pneumoniae] como causa de enfermedades clasificadas bajo otro concepto,infeccion tracto urinario klebsiella
B961,D,klebsiella pneumoniae [k. pneumoniae] como causa de enfermedades clasificadas bajo otro concepto,klebsiella
B9620,D,escherichia coli [e. coli] no especificado como causa de enfermedades clasificadas bajo otro concepto,escherichia coli
B9620,D,escherichia coli [e. coli] no especificado como causa de enfermedades clasificadas bajo otro concepto,infeccion tracto urinario e.coli
B9620,D,escherichia coli [e. coli] no especificado como causa de enfermedades clasificadas bajo otro concepto,escherichia coli
B9620,D,escherichia coli [e. coli] no especificado como causa de enfermedades clasificadas bajo otro concepto,pielonefritis aguda por e coli
B9620,D,escherichia coli [e. coli] no especificado como causa de enfermedades clasificadas bajo otro concepto,escherichia coli. *
B9620,D,escherichia coli [e. coli] no especificado como causa de enfermedades clasificadas bajo otro concepto,: e.coli
B9620,D,escherichia coli [e. coli] no especificado como causa de enfermedades clasificadas bajo otro concepto,pielonefritis aguda por e .coli
B9620,D,escherichia coli [e. coli] no especificado como causa de enfermedades clasificadas bajo otro concepto,infeccion tracto urinario por e. coli
B9620,D,escherichia coli [e. coli] no especificado como causa de enfermedades clasificadas bajo otro concepto,e.coli
B9620,D,escherichia coli [e. coli] no especificado como causa de enfermedades clasificadas bajo otro concepto,e. coli
B9620,D,escherichia coli [e. coli] no especificado como causa de enfermedades clasificadas bajo otro concepto,bacteriemia por e. coli
B9620,D,escherichia coli [e. coli] no especificado como causa de enfermedades clasificadas bajo otro concepto,: e.coli
B9620,D,escherichia coli [e. coli] no especificado como causa de enfermedades clasificadas bajo otro concepto,e coli
B9620,D,escherichia coli [e. coli] no especificado como causa de enfermedades clasificadas bajo otro concepto,e.coli
B9620,D,escherichia coli [e. coli] no especificado como causa de enfermedades clasificadas bajo otro concepto,infeccion tracto urinario ecoli
B9620,D,escherichia coli [e. coli] no especificado como causa de enfermedades clasificadas bajo otro concepto,infeccion tracto urinario por e.coli
B9620,D,escherichia coli [e. coli] no especificado como causa de enfermedades clasificadas bajo otro concepto,infeccion tracto urinario 3t
B9620,D,escherichia coli [e. coli] no especificado como causa de enfermedades clasificadas bajo otro concepto,infeccio del tracte urinari per e coli
B9620,D,escherichia coli [e. coli] no especificado como causa de enfermedades clasificadas bajo otro concepto,: e. coli.
B9629,D,otro escherichia coli [e. coli] como causa de enfermedades clasificadas bajo otro concepto,e.coli blee
B964,D,proteus (mirabilis) (morganii) como causa de enfermedades clasificadas bajo otro concepto,proteus mirabilis
B964,D,proteus (mirabilis) (morganii) como causa de enfermedades clasificadas bajo otro concepto,p.mirabilis
B965,D,pseudomonas (aeruginosa) (mallei) (pseudomallei) como causa de enfermedades clasificadas bajo otro concepto,pseudomonas aeruginosa
B965,D,pseudomonas (aeruginosa) (mallei) (pseudomallei) como causa de enfermedades clasificadas bajo otro concepto,pseudomona aeruginosa
B965,D,pseudomonas (aeruginosa) (mallei) (pseudomallei) como causa de enfermedades clasificadas bajo otro concepto,pseudomona
B9689,D,otros agentes bacterianos como causa de enfermedades clasificadas bajo otro concepto,serratia marcescens
B9689,D,otros agentes bacterianos como causa de enfermedades clasificadas bajo otro concepto,gardnerella
B9689,D,otros agentes bacterianos como causa de enfermedades clasificadas bajo otro concepto,gardnerella vaginalis
B9689,D,otros agentes bacterianos como causa de enfermedades clasificadas bajo otro concepto,041.89
B9689,D,otros agentes bacterianos como causa de enfermedades clasificadas bajo otro concepto,citrobacter koseri
B9689,D,otros agentes bacterianos como causa de enfermedades clasificadas bajo otro concepto,s.marcescens
B9689,D,otros agentes bacterianos como causa de enfermedades clasificadas bajo otro concepto,corynebacterium
B9689,D,otros agentes bacterianos como causa de enfermedades clasificadas bajo otro concepto,morganella morganii
B9689,D,otros agentes bacterianos como causa de enfermedades clasificadas bajo otro concepto,morganella morganii
B9689,D,otros agentes bacterianos como causa de enfermedades clasificadas bajo otro concepto,enterobacter cloacae
B9689,D,otros agentes bacterianos como causa de enfermedades clasificadas bajo otro concepto,klebsiella oxytoca
B9689,D,otros agentes bacterianos como causa de enfermedades clasificadas bajo otro concepto,propionibacterium acnes
B9689,D,otros agentes bacterianos como causa de enfermedades clasificadas bajo otro concepto,gardenella
B9689,D,otros agentes bacterianos como causa de enfermedades clasificadas bajo otro concepto,pna 3t
B974,D,virus sincitial respiratorio como causa de enfermedades clasificadas bajo otro concepto,infeccion por vrs
B977,D,papilomavirus como causa de enfermedades clasificadas bajo otro concepto,vph parto
B977,D,papilomavirus como causa de enfermedades clasificadas bajo otro concepto,cin ii parto
B977,D,papilomavirus como causa de enfermedades clasificadas bajo otro concepto,hpv
B977,D,papilomavirus como causa de enfermedades clasificadas bajo otro concepto,hpv
B977,D,papilomavirus como causa de enfermedades clasificadas bajo otro concepto,vph part
B977,D,papilomavirus como causa de enfermedades clasificadas bajo otro concepto,vph
B977,D,papilomavirus como causa de enfermedades clasificadas bajo otro concepto,hpv parto
B977,D,papilomavirus como causa de enfermedades clasificadas bajo otro concepto,hpv parto
B977,D,papilomavirus como causa de enfermedades clasificadas bajo otro concepto,hpv part
B9781,D,metaneumovirus humano como causa de enfermedades clasificadas bajo otro concepto,metapneumovirus
C029,D,"neoplasia maligna de la lengua, no especificada",neoplasia de lengua
C180,D,neoplasia maligna de ciego,neoplasia de ciego
C184,D,neoplasia maligna de colon transverso,neoplasia de colon transverso
C187,D,neoplasia maligna de colon sigmoide,adk sigma
C19,D,neoplasia maligna de union rectosigmoidea,neoplasia recto-sigma
C20,D,neoplasia maligna de recto,neoplasia de recto
C210,D,"neoplasia maligna de ano, no especificada",carcinoma anal
C220,D,carcinoma de celulas hepaticas,hepatocarcinoma
C221,D,carcinoma de conducto biliar intrahepatico,colangiocarcinoma intrahepatico
C222,D,hepatoblastoma,neutropenia febril qt
C253,D,neoplasia maligna de conducto pancreatico,tmpi
C259,D,"neoplasia maligna de pancreas, no especificada",cancer pancreas
C269,D,neoplasia maligna de sitios mal definidos dentro del aparato digestivo,neoplasia digestivo
C3411,D,"neoplasia maligna de lobulo superior, bronquio o pulmon derecho",adenocarcinoma de pulmon en lsd
C3412,D,"neoplasia maligna de lobulo superior, bronquio o pulmon izquierdo",hipertension arterial insuficiencia renal cronica insuficiencia cardiaca congestiva
C3432,D,"neoplasia maligna de lobulo inferior, bronquio o pulmon izquierdo",cancer pulmonar lii
C414,D,"neoplasia maligna de huesos de pelvis, sacro y coccix",cordoma sacro
C44519,D,carcinoma basocelular de piel de otra parte del tronco,carcinomas basocelulares region lumbar derecha
C50412,D,neoplasia maligna de cuadrante superior externo de mama femenina izquierda,cancer mama cse izq
C50412,D,neoplasia maligna de cuadrante superior externo de mama femenina izquierda,cancer mama izquierda
C50512,D,neoplasia maligna de cuadrante inferior externo de mama femenina izquierda,carcinoma cie mama izq
C50911,D,neoplasia maligna de localizacion no especificada de mama femenina derecha,neoplasia de mama bilateral
C50911,D,neoplasia maligna de localizacion no especificada de mama femenina derecha,carcinoma mama derecha
C50911,D,neoplasia maligna de localizacion no especificada de mama femenina derecha,neoplasia mama dreta
C50911,D,neoplasia maligna de localizacion no especificada de mama femenina derecha,cdi mama der
C50911,D,neoplasia maligna de localizacion no especificada de mama femenina derecha,cdi mama derecha
C50911,D,neoplasia maligna de localizacion no especificada de mama femenina derecha,neoplasia de mama derecha
C50911,D,neoplasia maligna de localizacion no especificada de mama femenina derecha,carcinoma de mama derecha
C50911,D,neoplasia maligna de localizacion no especificada de mama femenina derecha,neoplasia de mama der
C50911,D,neoplasia maligna de localizacion no especificada de mama femenina derecha,neoplasia maligna de mama derecha
C50911,D,neoplasia maligna de localizacion no especificada de mama femenina derecha,cancer de mama derecha
C50911,D,neoplasia maligna de localizacion no especificada de mama femenina derecha,carcinoma ductal infiltrante de mama derecha
C50911,D,neoplasia maligna de localizacion no especificada de mama femenina derecha,cancer de mama derecha
C50911,D,neoplasia maligna de localizacion no especificada de mama femenina derecha,carcinoma ductal infiltrante de mama derecha
C50911,D,neoplasia maligna de localizacion no especificada de mama femenina derecha,cancer de mama derecha
C50911,D,neoplasia maligna de localizacion no especificada de mama femenina derecha,neoplasi mama derecha
C50911,D,neoplasia maligna de localizacion no especificada de mama femenina derecha,cancer de mama derecha
C50911,D,neoplasia maligna de localizacion no especificada de mama femenina derecha,cancer de mama d
C50911,D,neoplasia maligna de localizacion no especificada de mama femenina derecha,cancer mama derecha
C50911,D,neoplasia maligna de localizacion no especificada de mama femenina derecha,cancer de mama bilateral
C50911,D,neoplasia maligna de localizacion no especificada de mama femenina derecha,cancer de mama dercha
C50911,D,neoplasia maligna de localizacion no especificada de mama femenina derecha,cancer mam der
C50911,D,neoplasia maligna de localizacion no especificada de mama femenina derecha,ca. mama derecha
C50911,D,neoplasia maligna de localizacion no especificada de mama femenina derecha,carcinoma mama derecha
C50911,D,neoplasia maligna de localizacion no especificada de mama femenina derecha,cancer mama derecha
C50911,D,neoplasia maligna de localizacion no especificada de mama femenina derecha,carcinoma mama derecha
C50911,D,neoplasia maligna de localizacion no especificada de mama femenina derecha,cdi mama derecha
C50911,D,neoplasia maligna de localizacion no especificada de mama femenina derecha,carcinoma de mama derecha
C50911,D,neoplasia maligna de localizacion no especificada de mama femenina derecha,cancer mama bilateral
C50911,D,neoplasia maligna de localizacion no especificada de mama femenina derecha,neoplasia mamaria derecha
C50911,D,neoplasia maligna de localizacion no especificada de mama femenina derecha,cancer mama derecha
C50911,D,neoplasia maligna de localizacion no especificada de mama femenina derecha,cancer mama derecha
C50911,D,neoplasia maligna de localizacion no especificada de mama femenina derecha,cancer mam bilateral
C50911,D,neoplasia maligna de localizacion no especificada de mama femenina derecha,carcinoma mama d
C50912,D,neoplasia maligna de localizacion no especificada de mama femenina izquierda,cdi de mama izq
C50912,D,neoplasia maligna de localizacion no especificada de mama femenina izquierda,carcinoma ductal infiltrante de mama izquierda
C50912,D,neoplasia maligna de localizacion no especificada de mama femenina izquierda,cdi de mama izquieda
C50912,D,neoplasia maligna de localizacion no especificada de mama femenina izquierda,neoplasia maligna de mama izquierda
C50912,D,neoplasia maligna de localizacion no especificada de mama femenina izquierda,carcinoma mama izquierda
C50912,D,neoplasia maligna de localizacion no especificada de mama femenina izquierda,carcinoma mama izquierda
C50912,D,neoplasia maligna de localizacion no especificada de mama femenina izquierda,cancer de mama izquierda
C50912,D,neoplasia maligna de localizacion no especificada de mama femenina izquierda,ca. de mama izquierda
C50912,D,neoplasia maligna de localizacion no especificada de mama femenina izquierda,cdi de mama izquierda
C50912,D,neoplasia maligna de localizacion no especificada de mama femenina izquierda,cancer mama izquierda
C50912,D,neoplasia maligna de localizacion no especificada de mama femenina izquierda,ca. mama izquierdo
C50912,D,neoplasia maligna de localizacion no especificada de mama femenina izquierda,cancer mama izquierda
C50912,D,neoplasia maligna de localizacion no especificada de mama femenina izquierda,carcinoma ductal infiltrante de mama izda
C50912,D,neoplasia maligna de localizacion no especificada de mama femenina izquierda,carcinoma ductal infiltrante mama izquierda
C50912,D,neoplasia maligna de localizacion no especificada de mama femenina izquierda,cancer mama izqueirda
C50912,D,neoplasia maligna de localizacion no especificada de mama femenina izquierda,carcinoma lobulillar infiltrante de mama izquierda
C50912,D,neoplasia maligna de localizacion no especificada de mama femenina izquierda,cancer de mama izda
C50912,D,neoplasia maligna de localizacion no especificada de mama femenina izquierda,cancer mama izq
C50912,D,neoplasia maligna de localizacion no especificada de mama femenina izquierda,neoplasia de mama izquierda
C50912,D,neoplasia maligna de localizacion no especificada de mama femenina izquierda,cancer mam bilateral
C50912,D,neoplasia maligna de localizacion no especificada de mama femenina izquierda,cancer mama bilaterl
C50912,D,neoplasia maligna de localizacion no especificada de mama femenina izquierda,cancer mama izq
C50912,D,neoplasia maligna de localizacion no especificada de mama femenina izquierda,carcinoma ductal infiltrante de mama izquierda
C50912,D,neoplasia maligna de localizacion no especificada de mama femenina izquierda,carcinoma de mama izquierda
C50912,D,neoplasia maligna de localizacion no especificada de mama femenina izquierda,carcinoma ductal infiltrante mama izquierda
C50912,D,neoplasia maligna de localizacion no especificada de mama femenina izquierda,cancer de mama izquierda
C50912,D,neoplasia maligna de localizacion no especificada de mama femenina izquierda,cancer mama izquierda
C50912,D,neoplasia maligna de localizacion no especificada de mama femenina izquierda,carcinoma mama izquierda
C50912,D,neoplasia maligna de localizacion no especificada de mama femenina izquierda,neoplasia de mama bilateral
C50919,D,"neoplasia maligna de localizacion no especificada de mama femenina, lado no especificado",neoplasia de mama
C50919,D,"neoplasia maligna de localizacion no especificada de mama femenina, lado no especificado",cancer mama
C519,D,"neoplasia maligna de vulva, no especificada",cancer vulva
C530,D,neoplasia maligna de endocervix,adenocarcinoma endocervical
C530,D,neoplasia maligna de endocervix,adenocarcinoma de endocervix
C539,D,"neoplasia maligna de cuello de utero, no especificada",adenocarcinoma de cervix
C539,D,"neoplasia maligna de cuello de utero, no especificada",ca. epidermoide de cervix
C539,D,"neoplasia maligna de cuello de utero, no especificada",cancer cervix
C539,D,"neoplasia maligna de cuello de utero, no especificada",adenocarcinoma cervical
C539,D,"neoplasia maligna de cuello de utero, no especificada",carcinoma de cervix
C541,D,neoplasia maligna de endometrio,adenocarcinoma endometrioide
C541,D,neoplasia maligna de endometrio,carcinoma endometrioide
C541,D,neoplasia maligna de endometrio,carcinoma seroso papilar de endometrio
C541,D,neoplasia maligna de endometrio,carcinoma de endometrio
C541,D,neoplasia maligna de endometrio,ca. endometrio
C541,D,neoplasia maligna de endometrio,carcinoma de endometrio
C541,D,neoplasia maligna de endometrio,adenoca . de endometrio
C541,D,neoplasia maligna de endometrio,carcinoma endometrioide de endometrio
C541,D,neoplasia maligna de endometrio,neoplasia de endometrio
C541,D,neoplasia maligna de endometrio,adenocarcinoma endometrial
C541,D,neoplasia maligna de endometrio,carcioma endometrio
C541,D,neoplasia maligna de endometrio,cancer endometrio
C541,D,neoplasia maligna de endometrio,adenocarcinima de endometrio
C541,D,neoplasia maligna de endometrio,cancer endometrio
C541,D,neoplasia maligna de endometrio,cancer endometrio
C541,D,neoplasia maligna de endometrio,adenocarcinoma endometrioide
C541,D,neoplasia maligna de endometrio,neoplasia endometrial
C541,D,neoplasia maligna de endometrio,neoplasia maligna de endometrio
C541,D,neoplasia maligna de endometrio,carcinoma endometrio
C541,D,neoplasia maligna de endometrio,adc endometrio
C541,D,neoplasia maligna de endometrio,cancer de endometrio
C541,D,neoplasia maligna de endometrio,neoplasia endometrial
C541,D,neoplasia maligna de endometrio,carcinoma endometrial
C541,D,neoplasia maligna de endometrio,carcinoma de endometrio
C541,D,neoplasia maligna de endometrio,neoplasia de endometrio
C541,D,neoplasia maligna de endometrio,adenocarcinoma de endometrio
C541,D,neoplasia maligna de endometrio,adenocarcinoma endometrio
C541,D,neoplasia maligna de endometrio,carcinoma endometrial
C541,D,neoplasia maligna de endometrio,cancer de endometrio
C55,D,"neoplasia maligna de utero, parte no especificada",leiomiosarcoma uterina
C55,D,"neoplasia maligna de utero, parte no especificada",leiomiosarcoma uterino
C55,D,"neoplasia maligna de utero, parte no especificada",cancer utero
C562,D,neoplasia maligna de ovario izquierdo,carcinoma ovario bilateral
C562,D,neoplasia maligna de ovario izquierdo,carcinoma de celulas claras de ovario izquierdo
C563,D,neoplasia maligna bilateral de ovarios,neoplasia maligna bilateral de ovarios
C569,D,neoplasia maligna de ovario no especificado,neoplasia ovarica
C569,D,neoplasia maligna de ovario no especificado,carcinoma seroso de ovario
C61,D,neoplasia maligna de prostata,neoplasia de prostata
C61,D,neoplasia maligna de prostata,cancer prostata
C61,D,neoplasia maligna de prostata,adenocarcinoma de prostata
C61,D,neoplasia maligna de prostata,adenocarninoma prostata
C61,D,neoplasia maligna de prostata,neoplasia de prostata
C61,D,neoplasia maligna de prostata,neoplasia maligna de prostata
C61,D,neoplasia maligna de prostata,neoplasia prostatica
C61,D,neoplasia maligna de prostata,neoplasia de prostata
C61,D,neoplasia maligna de prostata,cancer prostata
C61,D,neoplasia maligna de prostata,adenocarcinoma prostatico
C61,D,neoplasia maligna de prostata,cancer prostata
C61,D,neoplasia maligna de prostata,neoplasia prostatico
C6291,D,"neoplasia maligna de testiculo derecho, no especificado como descendido o no descendido",neoplasia testicular derecho
C6292,D,"neoplasia maligna de testiculo izquierdo, no especificado como descendido o no descendido",neoplasia testicular izquierdo
C641,D,"neoplasia maligna de rinon derecho, excepto pelvis renal",neoplasia renal derecha
C641,D,"neoplasia maligna de rinon derecho, excepto pelvis renal",cancer renal d
C641,D,"neoplasia maligna de rinon derecho, excepto pelvis renal",neoplasia renal derecha
C641,D,"neoplasia maligna de rinon derecho, excepto pelvis renal",neoplasia renal derecha
C642,D,"neoplasia maligna de rinon izquierdo, excepto pelvis renal",neoplasia renal izquierda
C642,D,"neoplasia maligna de rinon izquierdo, excepto pelvis renal",carcinoma renal izquierdo
C642,D,"neoplasia maligna de rinon izquierdo, excepto pelvis renal",c64.2
C642,D,"neoplasia maligna de rinon izquierdo, excepto pelvis renal","neoplasia maligna, ronyo esquerre"
C662,D,neoplasia maligna de ureter izquierdo,neoplasia ureter izquierdo
C678,D,neoplasia maligna de localizaciones contiguas de vejiga,neoplasia vesical multiple
C678,D,neoplasia maligna de localizaciones contiguas de vejiga,neoplasia vesical multiple
C679,D,"neoplasia maligna de vejiga, no especificada",cancer vejiga
C679,D,"neoplasia maligna de vejiga, no especificada",tm vesical
C679,D,"neoplasia maligna de vejiga, no especificada",neoplasia vesical
C679,D,"neoplasia maligna de vejiga, no especificada",tumor vesical
C679,D,"neoplasia maligna de vejiga, no especificada",neoplasia vesical
C679,D,"neoplasia maligna de vejiga, no especificada",neoplasia vesical
C679,D,"neoplasia maligna de vejiga, no especificada",cancer vesical
C712,D,neoplasia maligna de lobulo temporal,astrocitoma anaplasico temporal
C718,D,neoplasia maligna de localizaciones contiguas de cerebro,glioblastoma temporo-occipital izquierdo
C773,D,neoplasia maligna secundaria y no especificada de ganglios linfaticos de axila y extremidad superior,metastasis ganglio axilar
C773,D,neoplasia maligna secundaria y no especificada de ganglios linfaticos de axila y extremidad superior,metastasis axilar
C773,D,neoplasia maligna secundaria y no especificada de ganglios linfaticos de axila y extremidad superior,c773
C774,D,neoplasia maligna secundaria y no especificada de ganglios linfaticos inguinales y de extremidad inferior,196.5
C778,D,neoplasia maligna secundaria y no especificada de ganglios linfaticos de regiones multiples,afectacion ganglionar
C7800,D,neoplasia maligna secundaria de pulmon no especificado,metastasica pulmonar
C7800,D,neoplasia maligna secundaria de pulmon no especificado,pulmonares
C7800,D,neoplasia maligna secundaria de pulmon no especificado,pulmonar
C7801,D,neoplasia maligna secundaria de pulmon derecho,metastasis pulmonar bilateral
C7802,D,neoplasia maligna secundaria de pulmon izquierdo,mtx pulmonar bilateral
C782,D,neoplasia maligna secundaria de pleura,mtx pleural
