Code,D_P,Description,Literal
B182,D,Hepatitis vírica crónica tipo C,VHC part
B182,D,Hepatitis vírica crónica tipo C,Cirrosis hepática por VHC
B182,D,Hepatitis vírica crónica tipo C,Hepatitis C part
B2790,D,"Mononucleosis infecciosa, no especificada sin complicaciones",b2790
B2790,D,"Mononucleosis infecciosa, no especificada sin complicaciones",Mononucleosi
B2790,D,"Mononucleosis infecciosa, no especificada sin complicaciones",VEB
B309,D,"Conjuntivitis viral, no especificada",conjuntivitis vírica
B340,D,"Infección debida a adenovirus, no especificada",Bronquitis aguda adenovirus
B340,D,"Infección debida a adenovirus, no especificada",Adenovirus
B341,D,"Infección debida a enterovirus, no especificada",enterovirus
B343,D,"Infección debida a Parvovirus, no especificada",Parvovirus B19
B348,D,"Otras infecciones virales, de localización no especificada",Bocavirus
B348,D,"Otras infecciones virales, de localización no especificada",bocavirus
B348,D,"Otras infecciones virales, de localización no especificada",Rhinovirus
B348,D,"Otras infecciones virales, de localización no especificada",rhinovirus
B348,D,"Otras infecciones virales, de localización no especificada",parainfluenzae
B348,D,"Otras infecciones virales, de localización no especificada",bronquiolitis aguda rhinovirus
B349,D,"Infección viral, no especificada",B34.9
B349,D,"Infección viral, no especificada",Infecció vírica
B349,D,"Infección viral, no especificada",Virasis
B349,D,"Infección viral, no especificada",Probable virasis
B360,D,Pitiriasis versicolor,pitiriasis versicolor
B370,D,Estomatitis candidiásica,Micosis bucal
B372,D,Candidiasis de la piel y las uñas,Intertrigo candidiasico
B373,D,Candidiasis de vulva y vagina,candidiasis vaginal parto
B373,D,Candidiasis de vulva y vagina,Cándidiasis vaginal parto
B373,D,Candidiasis de vulva y vagina,Candidiasis vaginal parto
B373,D,Candidiasis de vulva y vagina,candidiasis vaginal part
B373,D,Candidiasis de vulva y vagina,Candidiasis vaginal 3t
B3732,D,Candidiasis crónica de vulva y vagina,candidiasis vulvovaginal
B3732,D,Candidiasis crónica de vulva y vagina,Candidiasis vaginal parto
B550,D,Leishmaniasis visceral,Leishmaniosi visceral
B571,D,Enfermedad de Chagas aguda que no afecta al corazón,Chagas parto
B571,D,Enfermedad de Chagas aguda que no afecta al corazón,chagas part
B571,D,Enfermedad de Chagas aguda que no afecta al corazón,Chagas part
B678,D,"Equinococosis del hígado, no especificada",Quiste hidatídico
B852,D,"Pediculosis, no especificada",Pediculosi
B852,D,"Pediculosis, no especificada",Pediculosis
B852,D,"Pediculosis, no especificada",pediculosis capilar
B86,D,Escabiosis,Escabiosi
B86,D,Escabiosis,sarna
B909,D,Secuelas de tuberculosis respiratoria y de tuberculosis no especificada,TBC secuelas
B91,D,Secuelas de poliomielitis,Secuelas de polio
B91,D,Secuelas de poliomielitis,Secuelas de Poliomelitis
B950,D,"Estreptococo, grupo A, como causa de enfermedades clasificadas bajo otro concepto",Streptococcus pyogenes
B951,D,"Estreptococo, grupo B, como causa de enfermedades clasificadas bajo otro concepto",S. Agalactiae
B951,D,"Estreptococo, grupo B, como causa de enfermedades clasificadas bajo otro concepto",Streptococcus agalactiae
B951,D,"Estreptococo, grupo B, como causa de enfermedades clasificadas bajo otro concepto",s. agalactiae
B952,D,Enterococos como causa de enfermedades clasificadas bajo otro concepto,Enterococcus faecium
B952,D,Enterococos como causa de enfermedades clasificadas bajo otro concepto,Enterococcus faecalis
B952,D,Enterococos como causa de enfermedades clasificadas bajo otro concepto,Enterococo FAECALIS
B952,D,Enterococos como causa de enfermedades clasificadas bajo otro concepto,Enteroccocus faecalis
B952,D,Enterococos como causa de enfermedades clasificadas bajo otro concepto,E. faecalis
B952,D,Enterococos como causa de enfermedades clasificadas bajo otro concepto,enterococcus faecalis
B952,D,Enterococos como causa de enfermedades clasificadas bajo otro concepto,E faecalis
B952,D,Enterococos como causa de enfermedades clasificadas bajo otro concepto,enterococo
B953,D,Streptococcus pneumoniae como causa de enfermedades clasificadas bajo otro concepto,neumococo
B953,D,Streptococcus pneumoniae como causa de enfermedades clasificadas bajo otro concepto,S. pneumoniae
B954,D,Otros estreptococos como causa de enfermedades clasificadas bajo otro concepto,Streptococcus anginosus
B954,D,Otros estreptococos como causa de enfermedades clasificadas bajo otro concepto,Streptococcus intermedius
B954,D,Otros estreptococos como causa de enfermedades clasificadas bajo otro concepto,Streptococcus Intermedius
B955,D,Estreptococo no especificado como causa de enfermedades clasificadas bajo otro concepto,enterococo
B955,D,Estreptococo no especificado como causa de enfermedades clasificadas bajo otro concepto,ENTEROCOCO
B9561,D,Infección por Staphylococcus aureus sensible a meticilina como causa de enfermedades clasificadas bajo otro concepto,MSSA
B9561,D,Infección por Staphylococcus aureus sensible a meticilina como causa de enfermedades clasificadas bajo otro concepto,Staphylococcus aureus meticilin sensible
B9561,D,Infección por Staphylococcus aureus sensible a meticilina como causa de enfermedades clasificadas bajo otro concepto,S Aureus
B9561,D,Infección por Staphylococcus aureus sensible a meticilina como causa de enfermedades clasificadas bajo otro concepto,Staphylococcus aureus
B9562,D,Infección por Staphylococcus aureus resistente a meticilina como causa de enfermedades clasificadas bajo otro concepto,MaRSA
B957,D,Otros estafilococos como causa de enfermedades clasificadas bajo otro concepto,Staphylococcus hominis
B957,D,Otros estafilococos como causa de enfermedades clasificadas bajo otro concepto,Stafilococo epidermidis
B957,D,Otros estafilococos como causa de enfermedades clasificadas bajo otro concepto,041.19
B957,D,Otros estafilococos como causa de enfermedades clasificadas bajo otro concepto,Staphylococcus haemolyticus
B957,D,Otros estafilococos como causa de enfermedades clasificadas bajo otro concepto,S.haemolyticus
B958,D,"Estafilococo no especificado, como causa de enfermedades clasificadas bajo otro concepto",Estafilococo
B960,D,Mycoplasma pneumoniae [M. pneumoniae] como causa de enfermedades clasificadas bajo otro concepto,MYCOPLASMA PNEUMONIAE
B961,D,Klebsiella pneumoniae [K. pneumoniae] como causa de enfermedades clasificadas bajo otro concepto,ITU por E.coli
B961,D,Klebsiella pneumoniae [K. pneumoniae] como causa de enfermedades clasificadas bajo otro concepto,Klebsiella pneumoniea
B961,D,Klebsiella pneumoniae [K. pneumoniae] como causa de enfermedades clasificadas bajo otro concepto,K. pneumoniae
B961,D,Klebsiella pneumoniae [K. pneumoniae] como causa de enfermedades clasificadas bajo otro concepto,K.pneumoniae
B961,D,Klebsiella pneumoniae [K. pneumoniae] como causa de enfermedades clasificadas bajo otro concepto,ITU Klebsiella
B961,D,Klebsiella pneumoniae [K. pneumoniae] como causa de enfermedades clasificadas bajo otro concepto,Klebsiella
B9620,D,Escherichia coli [E. coli] no especificado como causa de enfermedades clasificadas bajo otro concepto,Escherichia Coli
B9620,D,Escherichia coli [E. coli] no especificado como causa de enfermedades clasificadas bajo otro concepto,itu e.coli
B9620,D,Escherichia coli [E. coli] no especificado como causa de enfermedades clasificadas bajo otro concepto,Escherichia coli
B9620,D,Escherichia coli [E. coli] no especificado como causa de enfermedades clasificadas bajo otro concepto,Pielonefritis aguda por E Coli
B9620,D,Escherichia coli [E. coli] no especificado como causa de enfermedades clasificadas bajo otro concepto,Escherichia coli. *
B9620,D,Escherichia coli [E. coli] no especificado como causa de enfermedades clasificadas bajo otro concepto,: E.coli
B9620,D,Escherichia coli [E. coli] no especificado como causa de enfermedades clasificadas bajo otro concepto,Pielonefritis aguda por E .Coli
B9620,D,Escherichia coli [E. coli] no especificado como causa de enfermedades clasificadas bajo otro concepto,ITU por E. coli
B9620,D,Escherichia coli [E. coli] no especificado como causa de enfermedades clasificadas bajo otro concepto,e.coli
B9620,D,Escherichia coli [E. coli] no especificado como causa de enfermedades clasificadas bajo otro concepto,E. coli
B9620,D,Escherichia coli [E. coli] no especificado como causa de enfermedades clasificadas bajo otro concepto,Bacteriemia por E. Coli
B9620,D,Escherichia coli [E. coli] no especificado como causa de enfermedades clasificadas bajo otro concepto,: E.Coli
B9620,D,Escherichia coli [E. coli] no especificado como causa de enfermedades clasificadas bajo otro concepto,E coli
B9620,D,Escherichia coli [E. coli] no especificado como causa de enfermedades clasificadas bajo otro concepto,E.Coli
B9620,D,Escherichia coli [E. coli] no especificado como causa de enfermedades clasificadas bajo otro concepto,itu ecoli
B9620,D,Escherichia coli [E. coli] no especificado como causa de enfermedades clasificadas bajo otro concepto,ITU por E.coli
B9620,D,Escherichia coli [E. coli] no especificado como causa de enfermedades clasificadas bajo otro concepto,itu 3t
B9620,D,Escherichia coli [E. coli] no especificado como causa de enfermedades clasificadas bajo otro concepto,Infecció del tracte urinari per E Coli
B9620,D,Escherichia coli [E. coli] no especificado como causa de enfermedades clasificadas bajo otro concepto,: E. coli.
B9629,D,Otro Escherichia coli [E. coli] como causa de enfermedades clasificadas bajo otro concepto,E.coli BLEE
B964,D,Proteus (mirabilis) (morganii) como causa de enfermedades clasificadas bajo otro concepto,proteus mirabilis
B964,D,Proteus (mirabilis) (morganii) como causa de enfermedades clasificadas bajo otro concepto,P.mirabilis
B965,D,Pseudomonas (aeruginosa) (mallei) (pseudomallei) como causa de enfermedades clasificadas bajo otro concepto,Pseudomonas aeruginosa
B965,D,Pseudomonas (aeruginosa) (mallei) (pseudomallei) como causa de enfermedades clasificadas bajo otro concepto,Pseudomona aeruginosa
B965,D,Pseudomonas (aeruginosa) (mallei) (pseudomallei) como causa de enfermedades clasificadas bajo otro concepto,Pseudomona
B9689,D,Otros agentes bacterianos como causa de enfermedades clasificadas bajo otro concepto,Serratia marcescens
B9689,D,Otros agentes bacterianos como causa de enfermedades clasificadas bajo otro concepto,gardnerella
B9689,D,Otros agentes bacterianos como causa de enfermedades clasificadas bajo otro concepto,Gardnerella Vaginalis
B9689,D,Otros agentes bacterianos como causa de enfermedades clasificadas bajo otro concepto,041.89
B9689,D,Otros agentes bacterianos como causa de enfermedades clasificadas bajo otro concepto,Citrobacter koseri
B9689,D,Otros agentes bacterianos como causa de enfermedades clasificadas bajo otro concepto,S.marcescens
B9689,D,Otros agentes bacterianos como causa de enfermedades clasificadas bajo otro concepto,Corynebacterium
B9689,D,Otros agentes bacterianos como causa de enfermedades clasificadas bajo otro concepto,Morganella morganii
B9689,D,Otros agentes bacterianos como causa de enfermedades clasificadas bajo otro concepto,Morganella Morganii
B9689,D,Otros agentes bacterianos como causa de enfermedades clasificadas bajo otro concepto,Enterobacter cloacae
B9689,D,Otros agentes bacterianos como causa de enfermedades clasificadas bajo otro concepto,klebsiella oxytoca
B9689,D,Otros agentes bacterianos como causa de enfermedades clasificadas bajo otro concepto,Propionibacterium acnes
B9689,D,Otros agentes bacterianos como causa de enfermedades clasificadas bajo otro concepto,gardenella
B9689,D,Otros agentes bacterianos como causa de enfermedades clasificadas bajo otro concepto,pna 3t
B974,D,Virus sincitial respiratorio como causa de enfermedades clasificadas bajo otro concepto,Infección por VRS
B977,D,Papilomavirus como causa de enfermedades clasificadas bajo otro concepto,VPH parto
B977,D,Papilomavirus como causa de enfermedades clasificadas bajo otro concepto,CIN II parto
B977,D,Papilomavirus como causa de enfermedades clasificadas bajo otro concepto,hpv
B977,D,Papilomavirus como causa de enfermedades clasificadas bajo otro concepto,HPV
B977,D,Papilomavirus como causa de enfermedades clasificadas bajo otro concepto,vph part
B977,D,Papilomavirus como causa de enfermedades clasificadas bajo otro concepto,VPH
B977,D,Papilomavirus como causa de enfermedades clasificadas bajo otro concepto,HPV parto
B977,D,Papilomavirus como causa de enfermedades clasificadas bajo otro concepto,HPV PARTO
B977,D,Papilomavirus como causa de enfermedades clasificadas bajo otro concepto,HPV part
B9781,D,Metaneumovirus humano como causa de enfermedades clasificadas bajo otro concepto,Metapneumovirus
C029,D,"Neoplasia maligna de la lengua, no especificada",neoplasia de lengua
C180,D,Neoplasia maligna de ciego,neoplasia de ciego
C184,D,Neoplasia maligna de colon transverso,NEOPLASIA DE COLON TRANSVERSO
C187,D,Neoplasia maligna de colon sigmoide,ADK sigma
C19,D,Neoplasia maligna de unión rectosigmoidea,neoplasia recto-sigma
C20,D,Neoplasia maligna de recto,Neoplasia de recto
C210,D,"Neoplasia maligna de ano, no especificada",carcinoma anal
C220,D,Carcinoma de células hepáticas,Hepatocarcinoma
C221,D,Carcinoma de conducto biliar intrahepático,Colangiocarcinoma intrahepático
C222,D,Hepatoblastoma,neutropenia febril qt
C253,D,Neoplasia maligna de conducto pancreático,TMPi
C259,D,"Neoplasia maligna de páncreas, no especificada",ca pancreas
C269,D,Neoplasia maligna de sitios mal definidos dentro del aparato digestivo,neoplasia digestivo
C3411,D,"Neoplasia maligna de lóbulo superior, bronquio o pulmón derecho",Adenocarcinoma de pulmón en LSD
C3412,D,"Neoplasia maligna de lóbulo superior, bronquio o pulmón izquierdo",hta irc icc
C3432,D,"Neoplasia maligna de lóbulo inferior, bronquio o pulmón izquierdo",ca pulmonar LII
C414,D,"Neoplasia maligna de huesos de pelvis, sacro y cóccix",Cordoma Sacro
C44519,D,Carcinoma basocelular de piel de otra parte del tronco,Carcinomas basocelulares región lumbar derecha
C50412,D,Neoplasia maligna de cuadrante superior externo de mama femenina izquierda,ca mama CSE izq
C50412,D,Neoplasia maligna de cuadrante superior externo de mama femenina izquierda,Ca mama izquierda
C50512,D,Neoplasia maligna de cuadrante inferior externo de mama femenina izquierda,Carcinoma cie mama izq
C50911,D,Neoplasia maligna de localización no especificada de mama femenina derecha,NEOPLASIA DE MAMA BILATERAL
C50911,D,Neoplasia maligna de localización no especificada de mama femenina derecha,CARCINOMA MAMA DERECHA
C50911,D,Neoplasia maligna de localización no especificada de mama femenina derecha,neo mama dreta
C50911,D,Neoplasia maligna de localización no especificada de mama femenina derecha,cdi mama der
C50911,D,Neoplasia maligna de localización no especificada de mama femenina derecha,CDI mama derecha
C50911,D,Neoplasia maligna de localización no especificada de mama femenina derecha,Neoplasia de mama derecha
C50911,D,Neoplasia maligna de localización no especificada de mama femenina derecha,Carcinoma de mama derecha
C50911,D,Neoplasia maligna de localización no especificada de mama femenina derecha,neoplasia de mama der
C50911,D,Neoplasia maligna de localización no especificada de mama femenina derecha,neoplasia maligna de mama derecha
C50911,D,Neoplasia maligna de localización no especificada de mama femenina derecha,CÁNCER DE MAMA DERECHA
C50911,D,Neoplasia maligna de localización no especificada de mama femenina derecha,Carcinoma ductal infiltrante de mama derecha
C50911,D,Neoplasia maligna de localización no especificada de mama femenina derecha,cáncer de mama derecha
C50911,D,Neoplasia maligna de localización no especificada de mama femenina derecha,Carcinoma Ductal Infiltrante de Mama derecha
C50911,D,Neoplasia maligna de localización no especificada de mama femenina derecha,Ca de mama derecha
C50911,D,Neoplasia maligna de localización no especificada de mama femenina derecha,neoplasi mama derecha
C50911,D,Neoplasia maligna de localización no especificada de mama femenina derecha,Cáncer de mama derecha
C50911,D,Neoplasia maligna de localización no especificada de mama femenina derecha,ca de mama D
C50911,D,Neoplasia maligna de localización no especificada de mama femenina derecha,ca mama derecha
C50911,D,Neoplasia maligna de localización no especificada de mama femenina derecha,Cáncer de mama bilateral
C50911,D,Neoplasia maligna de localización no especificada de mama femenina derecha,Ca de mama dercha
C50911,D,Neoplasia maligna de localización no especificada de mama femenina derecha,ca mam der
C50911,D,Neoplasia maligna de localización no especificada de mama femenina derecha,CA. MAMA DERECHA
C50911,D,Neoplasia maligna de localización no especificada de mama femenina derecha,Carcinoma mama derecha
C50911,D,Neoplasia maligna de localización no especificada de mama femenina derecha,Ca mama derecha
C50911,D,Neoplasia maligna de localización no especificada de mama femenina derecha,carcinoma mama derecha
C50911,D,Neoplasia maligna de localización no especificada de mama femenina derecha,CDI MAMA DERECHA
C50911,D,Neoplasia maligna de localización no especificada de mama femenina derecha,carcinoma de mama derecha
C50911,D,Neoplasia maligna de localización no especificada de mama femenina derecha,Ca mama bilateral
C50911,D,Neoplasia maligna de localización no especificada de mama femenina derecha,Neoplasia mamaria derecha
C50911,D,Neoplasia maligna de localización no especificada de mama femenina derecha,CA MAMA DERECHA
C50911,D,Neoplasia maligna de localización no especificada de mama femenina derecha,ca MAMA DERECHA
C50911,D,Neoplasia maligna de localización no especificada de mama femenina derecha,ca mam bilateral
C50911,D,Neoplasia maligna de localización no especificada de mama femenina derecha,carcinoma mama d
C50912,D,Neoplasia maligna de localización no especificada de mama femenina izquierda,CDI de mama izq
C50912,D,Neoplasia maligna de localización no especificada de mama femenina izquierda,CARCINOMA DUCTAL INFILTRANTE DE MAMA IZQUIERDA
C50912,D,Neoplasia maligna de localización no especificada de mama femenina izquierda,CDI de mama izquieda
C50912,D,Neoplasia maligna de localización no especificada de mama femenina izquierda,NEOPLASIA MALIGNA DE MAMA IZQUIERDA
C50912,D,Neoplasia maligna de localización no especificada de mama femenina izquierda,Carcinoma mama izquierda
C50912,D,Neoplasia maligna de localización no especificada de mama femenina izquierda,Carcinoma Mama izquierda
C50912,D,Neoplasia maligna de localización no especificada de mama femenina izquierda,Cáncer de mama izquierda
C50912,D,Neoplasia maligna de localización no especificada de mama femenina izquierda,Ca. de mama izquierda
C50912,D,Neoplasia maligna de localización no especificada de mama femenina izquierda,CDI de mama izquierda
C50912,D,Neoplasia maligna de localización no especificada de mama femenina izquierda,ca MAMA IZQUIERDA
C50912,D,Neoplasia maligna de localización no especificada de mama femenina izquierda,CA. MAMA IZQUIERDO
C50912,D,Neoplasia maligna de localización no especificada de mama femenina izquierda,ca mama izquierda
C50912,D,Neoplasia maligna de localización no especificada de mama femenina izquierda,CARCINOMA DUCTAL INFILTRANTE DE MAMA IZDA
C50912,D,Neoplasia maligna de localización no especificada de mama femenina izquierda,Carcinoma ductal infiltrante Mama izquierda
C50912,D,Neoplasia maligna de localización no especificada de mama femenina izquierda,ca mama izqueirda
C50912,D,Neoplasia maligna de localización no especificada de mama femenina izquierda,Carcinoma lobulillar infiltrante de mama izquierda
C50912,D,Neoplasia maligna de localización no especificada de mama femenina izquierda,ca de mama IZDA
C50912,D,Neoplasia maligna de localización no especificada de mama femenina izquierda,ca mama izq
C50912,D,Neoplasia maligna de localización no especificada de mama femenina izquierda,neoplasia de mama izquierda
C50912,D,Neoplasia maligna de localización no especificada de mama femenina izquierda,ca mam bilateral
C50912,D,Neoplasia maligna de localización no especificada de mama femenina izquierda,ca mama bilaterl
C50912,D,Neoplasia maligna de localización no especificada de mama femenina izquierda,Ca mama izq
C50912,D,Neoplasia maligna de localización no especificada de mama femenina izquierda,Carcinoma ductal infiltrante de mama izquierda
C50912,D,Neoplasia maligna de localización no especificada de mama femenina izquierda,CARCINOMA DE MAMA IZQUIERDA
C50912,D,Neoplasia maligna de localización no especificada de mama femenina izquierda,Carcinoma ductal infiltrante mama izquierda
C50912,D,Neoplasia maligna de localización no especificada de mama femenina izquierda,cáncer de mama izquierda
C50912,D,Neoplasia maligna de localización no especificada de mama femenina izquierda,Ca mama izquierda
C50912,D,Neoplasia maligna de localización no especificada de mama femenina izquierda,carcinoma mama izquierda
C50912,D,Neoplasia maligna de localización no especificada de mama femenina izquierda,NEOPLASIA DE MAMA BILATERAL
C50919,D,"Neoplasia maligna de localización no especificada de mama femenina, lado no especificado",neoplasia de mama
C50919,D,"Neoplasia maligna de localización no especificada de mama femenina, lado no especificado",Ca Mama
C519,D,"Neoplasia maligna de vulva, no especificada",ca VULVA
C530,D,Neoplasia maligna de endocérvix,Adenocarcinoma endocervical
C530,D,Neoplasia maligna de endocérvix,ADENOCARCINOMA DE ENDOCERVIX
C539,D,"Neoplasia maligna de cuello de útero, no especificada",Adenocarcinoma de cérvix
C539,D,"Neoplasia maligna de cuello de útero, no especificada",Ca. epidermoide de cervix
C539,D,"Neoplasia maligna de cuello de útero, no especificada",ca cervix
C539,D,"Neoplasia maligna de cuello de útero, no especificada",Adenocarcinoma cervical
C539,D,"Neoplasia maligna de cuello de útero, no especificada",Carcinoma de cervix
C541,D,Neoplasia maligna de endometrio,ADENOCARCINOMA ENDOMETRIOIDE
C541,D,Neoplasia maligna de endometrio,Carcinoma endometrioide
C541,D,Neoplasia maligna de endometrio,Carcinoma seroso papilar de endometrio
C541,D,Neoplasia maligna de endometrio,Carcinoma de endometrio
C541,D,Neoplasia maligna de endometrio,ca. endometrio
C541,D,Neoplasia maligna de endometrio,carcinoma de endometrio
C541,D,Neoplasia maligna de endometrio,Adenoca . de endometrio
C541,D,Neoplasia maligna de endometrio,Carcinoma endometrioide de endometrio
C541,D,Neoplasia maligna de endometrio,neoplasia de endometrio
C541,D,Neoplasia maligna de endometrio,ADENOCARCINOMA ENDOMETRIAL
C541,D,Neoplasia maligna de endometrio,carcioma endometrio
C541,D,Neoplasia maligna de endometrio,CA endometrio
C541,D,Neoplasia maligna de endometrio,Adenocarcinima de endometrio
C541,D,Neoplasia maligna de endometrio,CA ENDOMETRIO
C541,D,Neoplasia maligna de endometrio,Ca endometrio
C541,D,Neoplasia maligna de endometrio,Adenocarcinoma endometrioide
C541,D,Neoplasia maligna de endometrio,neoplasia endometrial
C541,D,Neoplasia maligna de endometrio,NEOPLASIA MALIGNA DE ENDOMETRIO
C541,D,Neoplasia maligna de endometrio,Carcinoma endometrio
C541,D,Neoplasia maligna de endometrio,ADC endometrio
C541,D,Neoplasia maligna de endometrio,Cáncer de endometrio
C541,D,Neoplasia maligna de endometrio,NEOPLASIA ENDOMETRIAL
C541,D,Neoplasia maligna de endometrio,carcinoma endometrial
C541,D,Neoplasia maligna de endometrio,CARCINOMA DE ENDOMETRIO
C541,D,Neoplasia maligna de endometrio,neoplasia de ENDOMETRIO
C541,D,Neoplasia maligna de endometrio,ADENOCARCINOMA DE ENDOMETRIO
C541,D,Neoplasia maligna de endometrio,Adenocarcinoma endometrio
C541,D,Neoplasia maligna de endometrio,Carcinoma endometrial
C541,D,Neoplasia maligna de endometrio,Ca de endometrio
C55,D,"Neoplasia maligna de útero, parte no especificada",leiomiosarcoma uterina
C55,D,"Neoplasia maligna de útero, parte no especificada",LEIOMIOSARCOMA UTERINO
C55,D,"Neoplasia maligna de útero, parte no especificada",ca utero
C562,D,Neoplasia maligna de ovario izquierdo,Carcinoma ovario bilateral
C562,D,Neoplasia maligna de ovario izquierdo,Carcinoma de células claras de ovario izquierdo
C563,D,Neoplasia maligna bilateral de ovarios,NEOPLASIA MALIGNA BILATERAL DE OVARIOS
C569,D,Neoplasia maligna de ovario no especificado,neoplasia ovárica
C569,D,Neoplasia maligna de ovario no especificado,carcinoma seroso de ovario
C61,D,Neoplasia maligna de próstata,Neoplasia de próstata
C61,D,Neoplasia maligna de próstata,Ca próstata
C61,D,Neoplasia maligna de próstata,Adenocarcinoma de próstata
C61,D,Neoplasia maligna de próstata,Adenocarninoma próstata
C61,D,Neoplasia maligna de próstata,NEOPLASIA DE PRÓSTATA
C61,D,Neoplasia maligna de próstata,Neoplàsia maligna de pròstata
C61,D,Neoplasia maligna de próstata,NEOPLASIA PROSTÁTICA
C61,D,Neoplasia maligna de próstata,Neo de próstata
C61,D,Neoplasia maligna de próstata,ca prostata
C61,D,Neoplasia maligna de próstata,Adenocarcinoma prostático
C61,D,Neoplasia maligna de próstata,CA prostata
C61,D,Neoplasia maligna de próstata,neoplasia prostático
C6291,D,"Neoplasia maligna de testículo derecho, no especificado como descendido o no descendido",neoplasia TESTICULAR DERECHO
C6292,D,"Neoplasia maligna de testículo izquierdo, no especificado como descendido o no descendido",NEOPLASIA TESTICULAR izquierdo
C641,D,"Neoplasia maligna de riñón derecho, excepto pelvis renal",NEOPLASIA RENAL derecha
C641,D,"Neoplasia maligna de riñón derecho, excepto pelvis renal",ca renal d
C641,D,"Neoplasia maligna de riñón derecho, excepto pelvis renal",neoplasia renal derecha
C641,D,"Neoplasia maligna de riñón derecho, excepto pelvis renal",NEOPLASIA RENAL DERECHA
C642,D,"Neoplasia maligna de riñón izquierdo, excepto pelvis renal",NEOPLASIA RENAL IZQUIERDA
C642,D,"Neoplasia maligna de riñón izquierdo, excepto pelvis renal",Carcinoma renal izquierdo
C642,D,"Neoplasia maligna de riñón izquierdo, excepto pelvis renal",C64.2
C642,D,"Neoplasia maligna de riñón izquierdo, excepto pelvis renal","Neoplàsia maligna, ronyó esquerre"
C662,D,Neoplasia maligna de uréter izquierdo,neoplasia ureter izquierdo
C678,D,Neoplasia maligna de localizaciones contiguas de vejiga,NEOPLASIA vesical multiple
C678,D,Neoplasia maligna de localizaciones contiguas de vejiga,NEOPLASIA VESICAL multiple
C679,D,"Neoplasia maligna de vejiga, no especificada",ca vejiga
C679,D,"Neoplasia maligna de vejiga, no especificada",tm vesical
C679,D,"Neoplasia maligna de vejiga, no especificada",neoplasia vesical
C679,D,"Neoplasia maligna de vejiga, no especificada",tumor vesical
C679,D,"Neoplasia maligna de vejiga, no especificada",NEOPLASIA vesical
C679,D,"Neoplasia maligna de vejiga, no especificada",neo vesical
C679,D,"Neoplasia maligna de vejiga, no especificada",ca vesical
C712,D,Neoplasia maligna de lóbulo temporal,Astrocitoma anaplásico temporal
